1571935172864 2019_10_24_11_39_32_864 2.734449 0.478300  0.000014786
2019_10_24_11_39_32_980 1571935172980 116 115 4095 2209.31  
2019_10_24_11_39_32_981 1571935172981 117 116 636 312.914  
2019_10_24_11_39_33_007 1571935173007 143 142 319 156.817  
2019_10_24_11_39_33_009 1571935173009 145 144 1186 590.796  
2019_10_24_11_39_33_059 1571935173059 195 194 1525 766.528  
2019_10_24_11_39_33_064 1571935173064 200 199 172 85.4395  
2019_10_24_11_39_33_076 1571935173076 212 211 270 132.953  
2019_10_24_11_39_33_079 1571935173079 215 214 225 111.1  
2019_10_24_11_39_33_120 1571935173120 256 255 4095 2209.31  
2019_10_24_11_39_33_238 1571935173238 374 373 501 246.074  
2019_10_24_11_39_33_257 1571935173257 393 392 4095 2209.31  
2019_10_24_11_39_33_298 1571935173298 434 433 1615 813.753  
2019_10_24_11_39_33_325 1571935173325 461 460 165 82.0565  
2019_10_24_11_39_33_344 1571935173344 480 479 274 134.899  
2019_10_24_11_39_33_372 1571935173372 508 507 181 89.7911  
2019_10_24_11_39_33_389 1571935173389 525 524 263 129.55  
2019_10_24_11_39_33_405 1571935173405 541 540 282 138.791  
2019_10_24_11_39_33_423 1571935173423 559 557 417 204.757  
2019_10_24_11_39_33_459 1571935173459 595 593 139 69.5038  
2019_10_24_11_39_33_461 1571935173461 597 595 53 28.1259  
2019_10_24_11_39_33_486 1571935173486 622 620 306 150.479  
2019_10_24_11_39_33_491 1571935173491 627 625 94 47.8253  
2019_10_24_11_39_33_534 1571935173534 670 668 460 225.881  
2019_10_24_11_39_33_557 1571935173557 693 691 491 241.144  
2019_10_24_11_39_33_577 1571935173577 713 711 85 43.4968  
2019_10_24_11_39_33_580 1571935173580 716 714 251 123.719  
2019_10_24_11_39_33_610 1571935173610 746 744 273 134.412  
2019_10_24_11_39_33_612 1571935173612 748 746 119 59.8615  
2019_10_24_11_39_33_619 1571935173619 755 753 228 112.555  
2019_10_24_11_39_33_668 1571935173668 804 802 433 212.611  
2019_10_24_11_39_33_778 1571935173778 914 912 539 264.834  
2019_10_24_11_39_33_786 1571935173786 922 920 441 216.54  
2019_10_24_11_39_33_897 1571935173897 1033 1031 191 94.6291  
2019_10_24_11_39_33_910 1571935173910 1046 1044 388 190.541  
2019_10_24_11_39_33_934 1571935173934 1070 1067 294 144.633  
2019_10_24_11_39_33_962 1571935173962 1098 1095 197 97.5334  
2019_10_24_11_39_33_968 1571935173968 1104 1101 564 277.199  
2019_10_24_11_39_33_986 1571935173986 1122 1119 172 85.4395  
2019_10_24_11_39_33_996 1571935173996 1132 1129 160 79.641  
2019_10_24_11_39_34_017 1571935174017 1153 1150 120 60.3434  
2019_10_24_11_39_34_021 1571935174021 1157 1154 336 165.112  
2019_10_24_11_39_34_048 1571935174048 1184 1181 984 487.698  
2019_10_24_11_39_34_053 1571935174053 1189 1186 251 123.719  
2019_10_24_11_39_34_058 1571935174058 1194 1191 209 103.345  
2019_10_24_11_39_34_102 1571935174102 1238 1235 981 486.176  
2019_10_24_11_39_34_112 1571935174112 1248 1245 220 108.676  
2019_10_24_11_39_34_126 1571935174126 1262 1259 97 49.2687  
2019_10_24_11_39_34_205 1571935174205 1341 1338 93 47.3442  
2019_10_24_11_39_34_211 1571935174211 1347 1344 224 110.616  
2019_10_24_11_39_34_228 1571935174228 1364 1361 375 184.176  
2019_10_24_11_39_34_244 1571935174244 1380 1377 291 143.172  
2019_10_24_11_39_34_253 1571935174253 1389 1385 184 91.2422  
2019_10_24_11_39_34_340 1571935174340 1476 1472 748 368.776  
2019_10_24_11_39_34_360 1571935174360 1496 1492 348 170.973  
2019_10_24_11_39_34_368 1571935174368 1504 1500 589 289.583  
2019_10_24_11_39_34_472 1571935174472 1608 1604 309 151.941  
2019_10_24_11_39_34_514 1571935174514 1650 1646 332 163.16  
2019_10_24_11_39_34_561 1571935174561 1697 1693 494 242.623  
2019_10_24_11_39_34_601 1571935174601 1737 1733 222 109.646  
2019_10_24_11_39_34_702 1571935174702 1838 1834 267 131.495  
2019_10_24_11_39_34_781 1571935174781 1917 1913 173 85.9229  
2019_10_24_11_39_34_885 1571935174885 2021 2017 594 292.062  
2019_10_24_11_39_34_892 1571935174892 2028 2024 218 107.707  
2019_10_24_11_39_34_983 1571935174983 2119 2115 396 194.46  
2019_10_24_11_39_34_997 1571935174997 2133 2129 268 131.981  
2019_10_24_11_39_35_053 1571935175053 2189 2185 206 101.892  
2019_10_24_11_39_35_309 1571935175309 2445 2441 333 163.648  
2019_10_24_11_39_35_310 1571935175310 2446 2442 209 103.345  
2019_10_24_11_39_35_311 1571935175311 2447 2442 245 120.805  
2019_10_24_11_39_35_311 1571935175311 2447 2442 351 172.439  
2019_10_24_11_39_35_311 1571935175311 2447 2442 587 288.591  
2019_10_24_11_39_35_312 1571935175312 2448 2443 651 320.374  
2019_10_24_11_39_35_312 1571935175312 2448 2443 176 87.3733  
2019_10_24_11_39_35_312 1571935175312 2448 2443 178 88.3403  
2019_10_24_11_39_35_312 1571935175312 2448 2443 113 56.9711  
2019_10_24_11_39_35_312 1571935175312 2448 2443 367 180.262  
2019_10_24_11_39_35_390 1571935175390 2526 2521 453 222.439  
2019_10_24_11_39_35_402 1571935175402 2538 2533 1887 957.935  
2019_10_24_11_39_35_410 1571935175410 2546 2541 1209 602.611  
2019_10_24_11_39_35_427 1571935175427 2563 2558 1009 500.392  
2019_10_24_11_39_35_436 1571935175436 2572 2567 222 109.646  
2019_10_24_11_39_35_494 1571935175494 2630 2625 326 160.232  
2019_10_24_11_39_35_589 1571935175589 2725 2720 217 107.222  
2019_10_24_11_39_35_658 1571935175658 2794 2789 79 40.6124  
2019_10_24_11_39_35_688 1571935175688 2824 2819 257 126.634  
2019_10_24_11_39_35_708 1571935175708 2844 2839 178 88.3403  
2019_10_24_11_39_35_718 1571935175718 2854 2848 120 60.3434  
2019_10_24_11_39_35_724 1571935175724 2860 2854 776 382.799  
2019_10_24_11_39_35_748 1571935175748 2884 2878 299 147.068  
2019_10_24_11_39_35_761 1571935175761 2897 2891 1390 696.139  
2019_10_24_11_39_35_782 1571935175782 2918 2912 546 268.294  
2019_10_24_11_39_35_795 1571935175795 2931 2925 139 69.5038  
2019_10_24_11_39_35_808 1571935175808 2944 2938 374 183.687  
2019_10_24_11_39_35_841 1571935175841 2977 2971 393 192.99  
2019_10_24_11_39_35_857 1571935175857 2993 2987 187 92.6936  
2019_10_24_11_39_35_867 1571935175867 3003 2997 230 113.526  
2019_10_24_11_39_35_900 1571935175900 3036 3030 121 60.8252  
2019_10_24_11_39_36_005 1571935176005 3141 3135 210 103.829  
2019_10_24_11_39_36_026 1571935176026 3162 3156 133 66.6099  
2019_10_24_11_39_36_090 1571935176090 3226 3220 145 72.3988  
2019_10_24_11_39_36_160 1571935176160 3296 3290 173 85.9229  
2019_10_24_11_39_36_162 1571935176162 3298 3292 239 117.893  
2019_10_24_11_39_36_178 1571935176178 3314 3308 159 79.1579  
2019_10_24_11_39_36_207 1571935176207 3343 3336 356 174.883  
2019_10_24_11_39_36_214 1571935176214 3350 3343 153 76.2605  
2019_10_24_11_39_36_261 1571935176261 3397 3390 209 103.345  
2019_10_24_11_39_36_262 1571935176262 3398 3391 203 100.439  
2019_10_24_11_39_36_310 1571935176310 3446 3439 233 114.981  
2019_10_24_11_39_36_387 1571935176387 3523 3516 514 252.487  
2019_10_24_11_39_36_398 1571935176398 3534 3527 285 140.251  
2019_10_24_11_39_36_421 1571935176421 3557 3550 446 218.997  
2019_10_24_11_39_36_422 1571935176422 3558 3551 345 169.508  
2019_10_24_11_39_36_431 1571935176431 3567 3560 269 132.467  
2019_10_24_11_39_36_433 1571935176433 3569 3562 93 47.3442  
2019_10_24_11_39_36_450 1571935176450 3586 3579 299 147.068  
2019_10_24_11_39_36_526 1571935176526 3662 3655 358 175.861  
2019_10_24_11_39_36_535 1571935176535 3671 3664 207 102.376  
2019_10_24_11_39_36_543 1571935176543 3679 3672 135 67.5744  
2019_10_24_11_39_36_575 1571935176575 3711 3704 393 192.99  
2019_10_24_11_39_36_584 1571935176584 3720 3713 238 117.407  
2019_10_24_11_39_36_586 1571935176586 3722 3714 440 216.049  
2019_10_24_11_39_36_587 1571935176587 3723 3715 250 123.234  
2019_10_24_11_39_36_590 1571935176590 3726 3718 365 179.284  
2019_10_24_11_39_36_603 1571935176603 3739 3731 206 101.892  
2019_10_24_11_39_36_629 1571935176629 3765 3757 4095 2209.31  
2019_10_24_11_39_36_631 1571935176631 3767 3759 2011 1024.39  
2019_10_24_11_39_36_642 1571935176642 3778 3770 180 89.3075  
2019_10_24_11_39_36_676 1571935176676 3812 3804 408 200.342  
2019_10_24_11_39_36_682 1571935176682 3818 3810 184 91.2422  
2019_10_24_11_39_36_684 1571935176684 3820 3812 434 213.102  
2019_10_24_11_39_36_764 1571935176764 3900 3892 321 157.792  
2019_10_24_11_39_36_782 1571935176782 3918 3910 201 99.4701  
2019_10_24_11_39_36_801 1571935176801 3937 3929 391 192.01  
2019_10_24_11_39_36_846 1571935176846 3982 3974 307 150.966  
2019_10_24_11_39_36_873 1571935176873 4009 4001 557 273.735  
2019_10_24_11_39_36_922 1571935176922 4058 4050 1467 736.221  
2019_10_24_11_39_36_971 1571935176971 4107 4099 412 202.304  
2019_10_24_11_39_36_981 1571935176981 4117 4108 1061 526.855  
2019_10_24_11_39_37_018 1571935177018 4154 4145 233 114.981  
2019_10_24_11_39_37_033 1571935177033 4169 4160 2372 1220.45  
2019_10_24_11_39_37_034 1571935177034 4170 4161 144 71.9162  
2019_10_24_11_39_37_039 1571935177039 4175 4166 1215 605.696  
2019_10_24_11_39_37_051 1571935177051 4187 4178 108 54.5633  
2019_10_24_11_39_37_084 1571935177084 4220 4211 106 53.6004  
2019_10_24_11_39_37_089 1571935177089 4225 4216 498 244.595  
2019_10_24_11_39_37_363 1571935177363 4499 4490 324 159.256  
2019_10_24_11_39_37_364 1571935177364 4500 4491 318 156.329  
2019_10_24_11_39_37_365 1571935177365 4501 4492 124 62.271  
2019_10_24_11_39_37_365 1571935177365 4501 4492 2314 1188.69  
2019_10_24_11_39_37_365 1571935177365 4501 4492 118 59.3797  
2019_10_24_11_39_37_365 1571935177365 4501 4492 1388 695.1  
