1571934654520 2019_10_24_11_30_54_520 2.734449 0.478300  0.000014786
2019_10_24_11_30_54_575 1571934654575 55 54 418 205.247  
2019_10_24_11_30_54_575 1571934654575 55 54 158 78.675  
2019_10_24_11_30_54_575 1571934654575 55 54 284 139.764  
2019_10_24_11_30_54_575 1571934654575 55 54 241 118.864  
2019_10_24_11_30_54_575 1571934654575 55 54 2120 1083.18  
2019_10_24_11_30_54_575 1571934654575 55 54 1137 565.676  
2019_10_24_11_30_54_576 1571934654576 56 55 161 80.124  
2019_10_24_11_30_54_576 1571934654576 56 55 305 149.991  
2019_10_24_11_30_54_576 1571934654576 56 55 120 60.3434  
2019_10_24_11_30_54_576 1571934654576 56 55 287 141.224  
2019_10_24_11_30_54_576 1571934654576 56 55 374 183.687  
2019_10_24_11_30_54_576 1571934654576 56 55 136 68.0567  
2019_10_24_11_30_54_576 1571934654576 56 55 291 143.172  
2019_10_24_11_30_54_576 1571934654576 56 55 381 187.113  
2019_10_24_11_30_54_577 1571934654577 57 56 308 151.453  
2019_10_24_11_30_54_577 1571934654577 57 56 169 83.9894  
2019_10_24_11_30_54_577 1571934654577 57 56 1785 903.611  
2019_10_24_11_30_54_577 1571934654577 57 55 171 84.9561  
2019_10_24_11_30_54_577 1571934654577 57 55 104 52.6376  
2019_10_24_11_30_54_577 1571934654577 57 55 303 149.017  
2019_10_24_11_30_54_577 1571934654577 57 55 2957 1546.35  
2019_10_24_11_30_54_577 1571934654577 57 55 483 237.203  
2019_10_24_11_30_54_577 1571934654577 57 55 2680 1390.78  
2019_10_24_11_30_54_578 1571934654578 58 56 1070 531.444  
2019_10_24_11_30_54_578 1571934654578 58 56 170 84.4728  
2019_10_24_11_30_54_578 1571934654578 58 56 508 249.527  
2019_10_24_11_30_54_578 1571934654578 58 56 203 100.439  
2019_10_24_11_30_54_578 1571934654578 58 56 103 52.1562  
2019_10_24_11_30_54_578 1571934654578 58 56 513 251.993  
2019_10_24_11_30_54_578 1571934654578 58 56 83 42.5352  
2019_10_24_11_30_54_578 1571934654578 58 56 492 241.637  
2019_10_24_11_30_54_578 1571934654578 58 56 218 107.707  
2019_10_24_11_30_54_587 1571934654587 67 65 126 63.235  
2019_10_24_11_30_54_600 1571934654600 80 78 564 277.199  
