1571934869025 2019_10_24_11_34_29_025 2.734449 0.478300  0.000014786
2019_10_24_11_34_29_026 1571934869026 1 0 468 229.817  
2019_10_24_11_34_29_027 1571934869027 2 1 2791 1452.85  
2019_10_24_11_34_29_027 1571934869027 2 1 4095 2209.31  
2019_10_24_11_34_29_027 1571934869027 2 1 4095 2209.31  
2019_10_24_11_34_29_028 1571934869028 3 2 259 127.606  
2019_10_24_11_34_29_028 1571934869028 3 2 177 87.8568  
2019_10_24_11_34_29_028 1571934869028 3 2 169 83.9894  
2019_10_24_11_34_29_028 1571934869028 3 2 1008 499.884  
2019_10_24_11_34_29_028 1571934869028 3 2 414 203.285  
2019_10_24_11_34_29_028 1571934869028 3 2 101 51.1936  
2019_10_24_11_34_29_028 1571934869028 3 2 425 208.683  
2019_10_24_11_34_29_028 1571934869028 3 2 326 160.232  
2019_10_24_11_34_29_029 1571934869029 4 3 188 93.1774  
2019_10_24_11_34_29_029 1571934869029 4 3 176 87.3733  
2019_10_24_11_34_29_029 1571934869029 4 3 120 60.3434  
2019_10_24_11_34_29_029 1571934869029 4 3 271 133.44  
2019_10_24_11_34_29_029 1571934869029 4 3 95 48.3064  
2019_10_24_11_34_29_029 1571934869029 4 2 148 73.8467  
2019_10_24_11_34_29_029 1571934869029 4 2 176 87.3733  
2019_10_24_11_34_29_029 1571934869029 4 2 114 57.4528  
2019_10_24_11_34_29_030 1571934869030 5 3 309 151.941  
2019_10_24_11_34_29_030 1571934869030 5 3 240 118.378  
2019_10_24_11_34_29_030 1571934869030 5 3 364 178.795  
2019_10_24_11_34_29_030 1571934869030 5 3 187 92.6936  
2019_10_24_11_34_29_030 1571934869030 5 3 989 490.235  
2019_10_24_11_34_29_030 1571934869030 5 3 562 276.209  
2019_10_24_11_34_29_030 1571934869030 5 3 152 75.7777  
2019_10_24_11_34_29_030 1571934869030 5 3 217 107.222  
2019_10_24_11_34_29_030 1571934869030 5 3 401 196.91  
2019_10_24_11_34_29_031 1571934869031 6 4 71 36.7683  
2019_10_24_11_34_29_031 1571934869031 6 4 1349 674.868  
2019_10_24_11_34_29_031 1571934869031 6 4 348 170.973  
2019_10_24_11_34_29_044 1571934869044 19 17 195 96.5652  
2019_10_24_11_34_29_048 1571934869048 23 21 315 154.866  
2019_10_24_11_34_29_051 1571934869051 26 23 333 163.648  
2019_10_24_11_34_29_077 1571934869077 52 49 1039 515.65  
2019_10_24_11_34_29_078 1571934869078 53 50 414 203.285  
2019_10_24_11_34_29_084 1571934869084 59 56 172 85.4395  
2019_10_24_11_34_29_128 1571934869128 103 100 156 77.7091  
2019_10_24_11_34_29_190 1571934869190 165 162 782 385.807  
2019_10_24_11_34_29_216 1571934869216 191 188 837 413.43  
2019_10_24_11_34_29_233 1571934869233 208 205 267 131.495  
2019_10_24_11_34_29_316 1571934869316 291 288 1213 604.668  
2019_10_24_11_34_29_319 1571934869319 294 291 176 87.3733  
2019_10_24_11_34_29_473 1571934869473 448 445 211 104.314  
2019_10_24_11_34_29_476 1571934869476 451 448 323 158.768  
2019_10_24_11_34_29_490 1571934869490 465 462 288 141.711  
