1576080941745 2019_12_11_10_15_41_745 2.734449 0.478300  0.000014786
2019_12_11_10_15_42_459 1576080942459 714 713 139 69.5038  
2019_12_11_10_15_42_460 1576080942460 715 714 163 81.0902  
2019_12_11_10_15_42_461 1576080942461 716 715 158 78.675  
2019_12_11_10_15_42_461 1576080942461 716 715 527 258.905  
2019_12_11_10_15_42_461 1576080942461 716 715 272 133.926  
2019_12_11_10_15_42_461 1576080942461 716 715 314 154.378  
2019_12_11_10_15_42_461 1576080942461 716 715 538 264.339  
2019_12_11_10_15_42_461 1576080942461 716 715 113 56.9711  
2019_12_11_10_15_42_462 1576080942462 717 716 913 451.747  
2019_12_11_10_15_42_462 1576080942462 717 716 171 84.9561  
2019_12_11_10_15_42_462 1576080942462 717 716 343 168.531  
2019_12_11_10_15_42_462 1576080942462 717 716 232 114.496  
2019_12_11_10_15_42_462 1576080942462 717 716 504 247.553  
2019_12_11_10_15_42_462 1576080942462 717 716 262 129.064  
2019_12_11_10_15_42_462 1576080942462 717 716 729 359.273  
2019_12_11_10_15_42_462 1576080942462 717 716 201 99.4701  
2019_12_11_10_15_42_462 1576080942462 717 716 912 451.242  
2019_12_11_10_15_42_463 1576080942463 718 716 226 111.585  
2019_12_11_10_15_42_463 1576080942463 718 716 830 409.909  
2019_12_11_10_15_42_463 1576080942463 718 716 2390 1230.33  
2019_12_11_10_15_42_463 1576080942463 718 716 202 99.9544  
2019_12_11_10_15_42_463 1576080942463 718 716 425 208.683  
2019_12_11_10_15_42_463 1576080942463 718 716 442 217.032  
2019_12_11_10_15_42_463 1576080942463 718 716 454 222.93  
2019_12_11_10_15_42_463 1576080942463 718 716 127 63.717  
2019_12_11_10_15_42_463 1576080942463 718 716 170 84.4728  
2019_12_11_10_15_42_464 1576080942464 719 717 260 128.092  
2019_12_11_10_15_42_464 1576080942464 719 717 445 218.506  
2019_12_11_10_15_42_464 1576080942464 719 717 222 109.646  
2019_12_11_10_15_42_464 1576080942464 719 717 504 247.553  
2019_12_11_10_15_42_464 1576080942464 719 717 94 47.8253  
2019_12_11_10_15_42_464 1576080942464 719 717 79 40.6124  
2019_12_11_10_15_42_464 1576080942464 719 717 227 112.07  
2019_12_11_10_15_42_464 1576080942464 719 717 52 27.646  
2019_12_11_10_15_42_525 1576080942525 780 777 2772 1442.2  
2019_12_11_10_15_42_586 1576080942586 841 838 239 117.893  
2019_12_11_10_15_42_613 1576080942613 868 865 248 122.262  
2019_12_11_10_15_42_621 1576080942621 876 873 383 188.092  
2019_12_11_10_15_42_655 1576080942655 910 907 3160 1661.81  
2019_12_11_10_15_42_671 1576080942671 926 923 388 190.541  
2019_12_11_10_15_42_681 1576080942681 936 933 377 185.155  
2019_12_11_10_15_42_684 1576080942684 939 936 457 224.406  
2019_12_11_10_15_42_687 1576080942687 942 939 479 235.233  
2019_12_11_10_15_42_725 1576080942725 980 977 320 157.305  
2019_12_11_10_15_42_732 1576080942732 987 984 557 273.735  
