1576080345639 2019_12_11_10_05_45_639 2.734449 0.478300  0.000014786
2019_12_11_10_05_45_643 1576080345643 4 3 151 75.2949  
2019_12_11_10_05_45_655 1576080345655 16 15 1767 894.056  
2019_12_11_10_05_45_674 1576080345674 35 34 712 350.78  
2019_12_11_10_05_45_679 1576080345679 40 39 164 81.5733  
2019_12_11_10_05_45_682 1576080345682 43 42 1128 561.07  
2019_12_11_10_05_45_687 1576080345687 48 47 1771 896.178  
2019_12_11_10_05_45_811 1576080345811 172 171 607 298.51  
2019_12_11_10_05_45_822 1576080345822 183 182 124 62.271  
2019_12_11_10_05_45_861 1576080345861 222 221 208 102.861  
2019_12_11_10_05_45_865 1576080345865 226 225 421 206.719  
2019_12_11_10_05_46_210 1576080346210 571 570 340 167.066  
2019_12_11_10_05_46_211 1576080346211 572 571 194 96.0811  
2019_12_11_10_05_46_212 1576080346212 573 572 93 47.3442  
2019_12_11_10_05_46_212 1576080346212 573 572 251 123.719  
2019_12_11_10_05_46_212 1576080346212 573 572 99 50.2311  
2019_12_11_10_05_46_212 1576080346212 573 572 341 167.554  
2019_12_11_10_05_46_212 1576080346212 573 572 237 116.922  
2019_12_11_10_05_46_213 1576080346213 574 572 379 186.134  
2019_12_11_10_05_46_213 1576080346213 574 572 1019 505.475  
2019_12_11_10_05_46_213 1576080346213 574 572 294 144.633  
2019_12_11_10_05_46_213 1576080346213 574 572 1199 597.472  
2019_12_11_10_05_46_213 1576080346213 574 572 206 101.892  
2019_12_11_10_05_46_213 1576080346213 574 572 229 113.041  
2019_12_11_10_05_46_217 1576080346217 578 576 153 76.2605  
2019_12_11_10_05_46_219 1576080346219 580 578 146 72.8814  
2019_12_11_10_05_46_220 1576080346220 581 579 219 108.191  
2019_12_11_10_05_46_239 1576080346239 600 598 362 177.817  
2019_12_11_10_05_46_302 1576080346302 663 661 205 101.407  
2019_12_11_10_05_46_330 1576080346330 691 689 543 266.811  
2019_12_11_10_05_46_349 1576080346349 710 708 2058 1049.7  
2019_12_11_10_05_46_357 1576080346357 718 716 2979 1558.8  
2019_12_11_10_05_46_364 1576080346364 725 723 285 140.251  
2019_12_11_10_05_46_392 1576080346392 753 751 224 110.616  
2019_12_11_10_05_46_483 1576080346483 844 842 559 274.724  
2019_12_11_10_05_46_490 1576080346490 851 848 66 34.3667  
2019_12_11_10_05_46_510 1576080346510 871 868 246 121.291  
2019_12_11_10_05_46_552 1576080346552 913 910 362 177.817  
2019_12_11_10_05_46_608 1576080346608 969 966 714 351.778  
2019_12_11_10_05_46_645 1576080346645 1006 1003 794 391.826  
2019_12_11_10_05_46_687 1576080346687 1048 1045 344 169.019  
2019_12_11_10_05_46_705 1576080346705 1066 1063 686 337.806  
2019_12_11_10_05_46_712 1576080346712 1073 1070 239 117.893  
2019_12_11_10_05_46_726 1576080346726 1087 1084 288 141.711  
2019_12_11_10_05_46_728 1576080346728 1089 1086 341 167.554  
2019_12_11_10_05_46_740 1576080346740 1101 1098 230 113.526  
2019_12_11_10_05_46_772 1576080346772 1133 1130 180 89.3075  
2019_12_11_10_05_46_774 1576080346774 1135 1132 1284 641.248  
2019_12_11_10_05_46_793 1576080346793 1154 1151 270 132.953  
2019_12_11_10_05_46_816 1576080346816 1177 1174 292 143.659  
2019_12_11_10_05_46_834 1576080346834 1195 1192 188 93.1774  
2019_12_11_10_05_46_869 1576080346869 1230 1227 109 55.0448  
2019_12_11_10_05_46_896 1576080346896 1257 1253 211 104.314  
2019_12_11_10_05_46_982 1576080346982 1343 1339 171 84.9561  
2019_12_11_10_05_47_047 1576080347047 1408 1404 713 351.279  
2019_12_11_10_05_47_076 1576080347076 1437 1433 228 112.555  
2019_12_11_10_05_47_089 1576080347089 1450 1446 132 66.1277  
2019_12_11_10_05_47_136 1576080347136 1497 1493 241 118.864  
2019_12_11_10_05_47_139 1576080347139 1500 1496 715 352.278  
2019_12_11_10_05_47_218 1576080347218 1579 1575 266 131.008  
2019_12_11_10_05_47_260 1576080347260 1621 1617 166 82.5397  
2019_12_11_10_05_47_313 1576080347313 1674 1670 427 209.664  
2019_12_11_10_05_47_317 1576080347317 1678 1674 169 83.9894  
2019_12_11_10_05_47_318 1576080347318 1679 1675 344 169.019  
2019_12_11_10_05_47_326 1576080347326 1687 1683 299 147.068  
2019_12_11_10_05_47_394 1576080347394 1755 1751 155 77.2262  
2019_12_11_10_05_47_424 1576080347424 1785 1781 178 88.3403  
2019_12_11_10_05_47_441 1576080347441 1802 1798 163 81.0902  
2019_12_11_10_05_47_445 1576080347445 1806 1802 1934 983.07  
2019_12_11_10_05_47_480 1576080347480 1841 1836 171 84.9561  
2019_12_11_10_05_47_586 1576080347586 1947 1942 1355 677.978  
2019_12_11_10_05_47_615 1576080347615 1976 1971 140 69.9862  
2019_12_11_10_05_47_647 1576080347647 2008 2003 179 88.8239  
2019_12_11_10_05_47_775 1576080347775 2136 2131 384 188.582  
2019_12_11_10_05_47_803 1576080347803 2164 2159 358 175.861  
2019_12_11_10_05_47_808 1576080347808 2169 2164 270 132.953  
2019_12_11_10_05_47_821 1576080347821 2182 2177 404 198.381  
2019_12_11_10_05_47_899 1576080347899 2260 2255 83 42.5352  
2019_12_11_10_05_47_900 1576080347900 2261 2256 273 134.412  
2019_12_11_10_05_47_916 1576080347916 2277 2272 135 67.5744  
2019_12_11_10_05_47_927 1576080347927 2288 2283 550 270.272  
2019_12_11_10_05_47_941 1576080347941 2302 2297 274 134.899  
2019_12_11_10_05_47_955 1576080347955 2316 2311 340 167.066  
2019_12_11_10_05_47_961 1576080347961 2322 2317 264 130.036  
2019_12_11_10_05_48_000 1576080348000 2361 2356 703 346.287  
2019_12_11_10_05_48_258 1576080348258 2619 2614 538 264.339  
2019_12_11_10_05_48_259 1576080348259 2620 2615 158 78.675  
2019_12_11_10_05_48_260 1576080348260 2621 2615 238 117.407  
2019_12_11_10_05_48_260 1576080348260 2621 2615 262 129.064  
2019_12_11_10_05_48_260 1576080348260 2621 2615 253 124.691  
2019_12_11_10_05_48_260 1576080348260 2621 2615 488 239.666  
2019_12_11_10_05_48_260 1576080348260 2621 2615 3783 2023.74  
2019_12_11_10_05_48_261 1576080348261 2622 2616 195 96.5652  
2019_12_11_10_05_48_261 1576080348261 2622 2616 498 244.595  
2019_12_11_10_05_48_261 1576080348261 2622 2616 1278 638.151  
2019_12_11_10_05_48_261 1576080348261 2622 2616 103 52.1562  
2019_12_11_10_05_48_261 1576080348261 2622 2616 354 173.906  
2019_12_11_10_05_48_261 1576080348261 2622 2616 166 82.5397  
2019_12_11_10_05_48_261 1576080348261 2622 2616 416 204.266  
2019_12_11_10_05_48_261 1576080348261 2622 2616 327 160.72  
2019_12_11_10_05_48_351 1576080348351 2712 2706 486 238.681  
2019_12_11_10_05_48_369 1576080348369 2730 2724 391 192.01  
2019_12_11_10_05_48_392 1576080348392 2753 2747 190 94.1452  
