1576085790438 2019_12_11_11_36_30_438 2.734449 0.478300  0.000014786
2019_12_11_11_36_30_840 1576085790840 402 401 295 145.12  
2019_12_11_11_36_30_841 1576085790841 403 402 309 151.941  
2019_12_11_11_36_30_842 1576085790842 404 403 581 285.618  
2019_12_11_11_36_30_842 1576085790842 404 403 169 83.9894  
2019_12_11_11_36_30_842 1576085790842 404 403 465 228.341  
2019_12_11_11_36_30_842 1576085790842 404 403 337 165.601  
2019_12_11_11_36_30_842 1576085790842 404 403 241 118.864  
2019_12_11_11_36_30_843 1576085790843 405 404 548 269.283  
2019_12_11_11_36_30_843 1576085790843 405 404 1409 706.013  
2019_12_11_11_36_30_843 1576085790843 405 404 358 175.861  
2019_12_11_11_36_30_843 1576085790843 405 404 188 93.1774  
2019_12_11_11_36_30_843 1576085790843 405 404 883 436.602  
2019_12_11_11_36_30_843 1576085790843 405 404 774 381.796  
2019_12_11_11_36_30_843 1576085790843 405 404 1455 729.963  
2019_12_11_11_36_30_843 1576085790843 405 404 331 162.672  
2019_12_11_11_36_30_843 1576085790843 405 404 476 233.755  
2019_12_11_11_36_30_844 1576085790844 406 405 1900 964.881  
2019_12_11_11_36_30_844 1576085790844 406 404 566 278.189  
2019_12_11_11_36_30_844 1576085790844 406 404 516 253.474  
2019_12_11_11_36_30_844 1576085790844 406 404 247 121.777  
2019_12_11_11_36_30_844 1576085790844 406 404 488 239.666  
2019_12_11_11_36_30_844 1576085790844 406 404 568 279.179  
2019_12_11_11_36_30_844 1576085790844 406 404 251 123.719  
2019_12_11_11_36_30_844 1576085790844 406 404 421 206.719  
2019_12_11_11_36_30_844 1576085790844 406 404 386 189.561  
2019_12_11_11_36_30_845 1576085790845 407 405 180 89.3075  
2019_12_11_11_36_30_845 1576085790845 407 405 429 210.646  
2019_12_11_11_36_30_845 1576085790845 407 405 420 206.229  
2019_12_11_11_36_30_845 1576085790845 407 405 412 202.304  
2019_12_11_11_36_30_845 1576085790845 407 405 228 112.555  
2019_12_11_11_36_30_845 1576085790845 407 405 430 211.137  
2019_12_11_11_36_30_845 1576085790845 407 405 434 213.102  
2019_12_11_11_36_30_845 1576085790845 407 405 317 155.841  
2019_12_11_11_36_30_857 1576085790857 419 417 239 117.893  
2019_12_11_11_36_30_887 1576085790887 449 446 501 246.074  
