1576079656925 2019_12_11_09_54_16_925 2.734449 0.478300  0.000014786
2019_12_11_09_54_16_930 1576079656930 5 4 273 134.412  
2019_12_11_09_54_16_950 1576079656950 25 24 543 266.811  
2019_12_11_09_54_16_964 1576079656964 39 38 128 64.1991  
2019_12_11_09_54_16_977 1576079656977 52 51 113 56.9711  
2019_12_11_09_54_16_996 1576079656996 71 70 171 84.9561  
2019_12_11_09_54_17_018 1576079657018 93 92 1535 771.763  
2019_12_11_09_54_17_058 1576079657058 133 132 527 258.905  
2019_12_11_09_54_17_074 1576079657074 149 148 630 309.932  
2019_12_11_09_54_17_118 1576079657118 193 192 175 86.8898  
2019_12_11_09_54_17_191 1576079657191 266 265 2349 1207.85  
2019_12_11_09_54_17_215 1576079657215 290 289 233 114.981  
2019_12_11_09_54_17_245 1576079657245 320 319 122 61.3071  
2019_12_11_09_54_17_274 1576079657274 349 348 219 108.191  
2019_12_11_09_54_17_296 1576079657296 371 370 450 220.964  
2019_12_11_09_54_17_306 1576079657306 381 380 184 91.2422  
2019_12_11_09_54_17_332 1576079657332 407 406 84 43.016  
2019_12_11_09_54_17_339 1576079657339 414 413 130 65.1633  
2019_12_11_09_54_17_373 1576079657373 448 446 246 121.291  
2019_12_11_09_54_17_395 1576079657395 470 468 4095 2209.31  
2019_12_11_09_54_17_408 1576079657408 483 481 1403 702.894  
2019_12_11_09_54_17_458 1576079657458 533 531 180 89.3075  
2019_12_11_09_54_17_532 1576079657532 607 605 149 74.3294  
2019_12_11_09_54_17_574 1576079657574 649 647 526 258.411  
2019_12_11_09_54_17_577 1576079657577 652 650 226 111.585  
2019_12_11_09_54_17_596 1576079657596 671 669 396 194.46  
2019_12_11_09_54_17_669 1576079657669 744 742 755 372.279  
2019_12_11_09_54_17_680 1576079657680 755 753 267 131.495  
2019_12_11_09_54_17_710 1576079657710 785 783 149 74.3294  
2019_12_11_09_54_17_720 1576079657720 795 793 134 67.0921  
2019_12_11_09_54_17_744 1576079657744 819 817 80 41.0931  
2019_12_11_09_54_17_792 1576079657792 867 865 318 156.329  
2019_12_11_09_54_17_796 1576079657796 871 869 698 343.792  
2019_12_11_09_54_17_859 1576079657859 934 932 129 64.6812  
2019_12_11_09_54_17_878 1576079657878 953 951 175 86.8898  
2019_12_11_09_54_18_138 1576079658138 1213 1210 471 231.294  
2019_12_11_09_54_18_139 1576079658139 1214 1211 139 69.5038  
2019_12_11_09_54_18_140 1576079658140 1215 1212 338 166.089  
2019_12_11_09_54_18_140 1576079658140 1215 1212 189 93.6613  
2019_12_11_09_54_18_140 1576079658140 1215 1212 4095 2209.31  
2019_12_11_09_54_18_140 1576079658140 1215 1212 1861 944.058  
2019_12_11_09_54_18_140 1576079658140 1215 1212 281 138.304  
2019_12_11_09_54_18_140 1576079658140 1215 1212 410 201.323  
2019_12_11_09_54_18_140 1576079658140 1215 1212 817 403.375  
2019_12_11_09_54_18_141 1576079658141 1216 1213 273 134.412  
2019_12_11_09_54_18_233 1576079658233 1308 1305 94 47.8253  
2019_12_11_09_54_18_276 1576079658276 1351 1348 198 98.0175  
2019_12_11_09_54_18_291 1576079658291 1366 1363 45 24.2879  
2019_12_11_09_54_18_337 1576079658337 1412 1409 173 85.9229  
2019_12_11_09_54_18_375 1576079658375 1450 1447 989 490.235  
2019_12_11_09_54_18_376 1576079658376 1451 1448 547 268.789  
2019_12_11_09_54_18_448 1576079658448 1523 1520 179 88.8239  
2019_12_11_09_54_18_492 1576079658492 1567 1563 234 115.466  
2019_12_11_09_54_18_545 1576079658545 1620 1616 352 172.928  
2019_12_11_09_54_18_558 1576079658558 1633 1629 1000 495.82  
2019_12_11_09_54_18_586 1576079658586 1661 1657 157 78.192  
2019_12_11_09_54_18_611 1576079658611 1686 1682 213 105.283  
2019_12_11_09_54_18_704 1576079658704 1779 1775 128 64.1991  
2019_12_11_09_54_18_713 1576079658713 1788 1784 339 166.577  
2019_12_11_09_54_18_732 1576079658732 1807 1803 553 271.756  
2019_12_11_09_54_18_769 1576079658769 1844 1840 1005 498.36  
2019_12_11_09_54_18_774 1576079658774 1849 1845 141 70.4687  
2019_12_11_09_54_18_775 1576079658775 1850 1846 284 139.764  
2019_12_11_09_54_18_802 1576079658802 1877 1873 1166 580.534  
2019_12_11_09_54_18_817 1576079658817 1892 1888 81 41.5738  
2019_12_11_09_54_18_924 1576079658924 1999 1995 992 491.758  
2019_12_11_09_54_18_954 1576079658954 2029 2025 317 155.841  
2019_12_11_09_54_18_956 1576079658956 2031 2027 167 83.0229  
2019_12_11_09_54_18_979 1576079658979 2054 2050 321 157.792  
2019_12_11_09_54_18_996 1576079658996 2071 2066 218 107.707  
2019_12_11_09_54_19_070 1576079659070 2145 2140 438 215.066  
2019_12_11_09_54_19_114 1576079659114 2189 2184 187 92.6936  
2019_12_11_09_54_19_133 1576079659133 2208 2203 229 113.041  
2019_12_11_09_54_19_183 1576079659183 2258 2253 134 67.0921  
2019_12_11_09_54_19_195 1576079659195 2270 2265 185 91.726  
2019_12_11_09_54_19_203 1576079659203 2278 2273 377 185.155  
2019_12_11_09_54_19_214 1576079659214 2289 2284 425 208.683  
2019_12_11_09_54_19_215 1576079659215 2290 2285 246 121.291  
2019_12_11_09_54_19_230 1576079659230 2305 2300 295 145.12  
2019_12_11_09_54_19_246 1576079659246 2321 2316 85 43.4968  
2019_12_11_09_54_19_261 1576079659261 2336 2331 278 136.845  
2019_12_11_09_54_19_279 1576079659279 2354 2349 338 166.089  
2019_12_11_09_54_19_313 1576079659313 2388 2383 234 115.466  
2019_12_11_09_54_19_326 1576079659326 2401 2396 152 75.7777  
2019_12_11_09_54_19_362 1576079659362 2437 2432 114 57.4528  
2019_12_11_09_54_19_492 1576079659492 2567 2562 109 55.0448  
2019_12_11_09_54_19_504 1576079659504 2579 2574 288 141.711  
2019_12_11_09_54_19_509 1576079659509 2584 2578 51 27.1662  
2019_12_11_09_54_19_523 1576079659523 2598 2592 771 380.293  
2019_12_11_09_54_19_571 1576079659571 2646 2640 216 106.737  
2019_12_11_09_54_19_609 1576079659609 2684 2678 173 85.9229  
2019_12_11_09_54_19_612 1576079659612 2687 2681 691 340.3  
2019_12_11_09_54_19_619 1576079659619 2694 2688 245 120.805  
2019_12_11_09_54_19_662 1576079659662 2737 2731 3502 1859.07  
2019_12_11_09_54_19_747 1576079659747 2822 2816 306 150.479  
2019_12_11_09_54_19_784 1576079659784 2859 2853 170 84.4728  
2019_12_11_09_54_19_850 1576079659850 2925 2919 431 211.628  
2019_12_11_09_54_19_892 1576079659892 2967 2961 241 118.864  
2019_12_11_09_54_20_186 1576079660186 3261 3255 186 92.2098  
2019_12_11_09_54_20_187 1576079660187 3262 3256 4095 2209.31  
2019_12_11_09_54_20_188 1576079660188 3263 3257 4041 2176.99  
2019_12_11_09_54_20_188 1576079660188 3263 3257 151 75.2949  
2019_12_11_09_54_20_188 1576079660188 3263 3257 140 69.9862  
2019_12_11_09_54_20_188 1576079660188 3263 3257 1069 530.934  
2019_12_11_09_54_20_188 1576079660188 3263 3256 555 272.745  
2019_12_11_09_54_20_188 1576079660188 3263 3256 160 79.641  
2019_12_11_09_54_20_189 1576079660189 3264 3257 2853 1487.67  
2019_12_11_09_54_20_189 1576079660189 3264 3257 155 77.2262  
2019_12_11_09_54_20_222 1576079660222 3297 3290 176 87.3733  
2019_12_11_09_54_20_270 1576079660270 3345 3338 251 123.719  
2019_12_11_09_54_20_329 1576079660329 3404 3397 374 183.687  
2019_12_11_09_54_20_370 1576079660370 3445 3438 386 189.561  
2019_12_11_09_54_20_463 1576079660463 3538 3531 210 103.829  
2019_12_11_09_54_20_497 1576079660497 3572 3565 178 88.3403  
2019_12_11_09_54_20_536 1576079660536 3611 3604 422 207.21  
2019_12_11_09_54_20_621 1576079660621 3696 3689 69 35.8075  
2019_12_11_09_54_20_722 1576079660722 3797 3790 201 99.4701  
2019_12_11_09_54_20_728 1576079660728 3803 3796 296 145.607  
2019_12_11_09_54_20_860 1576079660860 3935 3928 428 210.155  
2019_12_11_09_54_20_891 1576079660891 3966 3959 265 130.522  
2019_12_11_09_54_20_901 1576079660901 3976 3969 132 66.1277  
2019_12_11_09_54_20_904 1576079660904 3979 3971 1368 684.719  
2019_12_11_09_54_20_905 1576079660905 3980 3972 269 132.467  
2019_12_11_09_54_20_910 1576079660910 3985 3977 367 180.262  
2019_12_11_09_54_21_043 1576079661043 4118 4110 1948 990.57  
2019_12_11_09_54_21_049 1576079661049 4124 4116 303 149.017  
2019_12_11_09_54_21_112 1576079661112 4187 4179 512 251.5  
2019_12_11_09_54_21_192 1576079661192 4267 4259 108 54.5633  
2019_12_11_09_54_21_213 1576079661213 4288 4280 315 154.866  
2019_12_11_09_54_21_258 1576079661258 4333 4325 302 148.53  
2019_12_11_09_54_21_277 1576079661277 4352 4344 322 158.28  
2019_12_11_09_54_21_290 1576079661290 4365 4357 258 127.12  
2019_12_11_09_54_21_305 1576079661305 4380 4372 152 75.7777  
