1576079592523 2019_12_11_09_53_12_523 2.734449 0.478300  0.000014786
2019_12_11_09_53_12_557 1576079592557 34 33 533 261.869  
2019_12_11_09_53_12_596 1576079592596 73 72 1336 668.134  
2019_12_11_09_53_12_634 1576079592634 111 110 378 185.644  
2019_12_11_09_53_12_658 1576079592658 135 134 49 26.2066  
2019_12_11_09_53_12_691 1576079592691 168 167 147 73.3641  
2019_12_11_09_53_12_733 1576079592733 210 209 501 246.074  
2019_12_11_09_53_12_749 1576079592749 226 225 418 205.247  
2019_12_11_09_53_12_757 1576079592757 234 233 373 183.197  
2019_12_11_09_53_12_763 1576079592763 240 239 259 127.606  
2019_12_11_09_53_12_765 1576079592765 242 241 701 345.288  
2019_12_11_09_53_12_774 1576079592774 251 250 1350 675.386  
2019_12_11_09_53_12_792 1576079592792 269 268 249 122.748  
2019_12_11_09_53_12_794 1576079592794 271 270 311 152.916  
2019_12_11_09_53_12_820 1576079592820 297 296 301 148.042  
2019_12_11_09_53_12_828 1576079592828 305 304 135 67.5744  
2019_12_11_09_53_12_829 1576079592829 306 305 962 476.542  
2019_12_11_09_53_12_830 1576079592830 307 306 316 155.354  
2019_12_11_09_53_12_848 1576079592848 325 323 148 73.8467  
2019_12_11_09_53_12_857 1576079592857 334 332 143 71.4337  
2019_12_11_09_53_12_869 1576079592869 346 344 444 218.014  
2019_12_11_09_53_12_879 1576079592879 356 354 609 299.503  
2019_12_11_09_53_12_892 1576079592892 369 367 236 116.437  
2019_12_11_09_53_12_894 1576079592894 371 369 383 188.092  
2019_12_11_09_53_12_910 1576079592910 387 385 357 175.372  
2019_12_11_09_53_12_930 1576079592930 407 405 101 51.1936  
2019_12_11_09_53_12_961 1576079592961 438 436 219 108.191  
2019_12_11_09_53_13_038 1576079593038 515 513 192 95.1131  
2019_12_11_09_53_13_039 1576079593039 516 514 333 163.648  
2019_12_11_09_53_13_071 1576079593071 548 546 206 101.892  
2019_12_11_09_53_13_120 1576079593120 597 595 434 213.102  
2019_12_11_09_53_13_138 1576079593138 615 613 316 155.354  
2019_12_11_09_53_13_144 1576079593144 621 619 227 112.07  
2019_12_11_09_53_13_178 1576079593178 655 653 352 172.928  
2019_12_11_09_53_13_198 1576079593198 675 673 1099 546.244  
2019_12_11_09_53_13_209 1576079593209 686 683 1336 668.134  
2019_12_11_09_53_13_210 1576079593210 687 684 596 293.053  
2019_12_11_09_53_13_247 1576079593247 724 721 286 140.738  
2019_12_11_09_53_13_260 1576079593260 737 734 1247 622.166  
2019_12_11_09_53_13_366 1576079593366 843 840 198 98.0175  
2019_12_11_09_53_13_395 1576079593395 872 869 341 167.554  
2019_12_11_09_53_13_402 1576079593402 879 876 4095 2209.31  
2019_12_11_09_53_13_406 1576079593406 883 880 1778 899.894  
2019_12_11_09_53_13_427 1576079593427 904 901 1812 917.961  
2019_12_11_09_53_13_429 1576079593429 906 903 1198 596.958  
2019_12_11_09_53_13_435 1576079593435 912 909 862 426.015  
2019_12_11_09_53_13_436 1576079593436 913 910 1640 826.914  
2019_12_11_09_53_13_444 1576079593444 921 918 795 392.328  
2019_12_11_09_53_13_543 1576079593543 1020 1017 365 179.284  
2019_12_11_09_53_13_544 1576079593544 1021 1018 1311 655.198  
2019_12_11_09_53_13_586 1576079593586 1063 1060 552 271.261  
2019_12_11_09_53_13_603 1576079593603 1080 1077 174 86.4063  
2019_12_11_09_53_13_622 1576079593622 1099 1095 949 469.957  
2019_12_11_09_53_13_636 1576079593636 1113 1109 157 78.192  
2019_12_11_09_53_13_658 1576079593658 1135 1131 978 484.654  
2019_12_11_09_53_13_675 1576079593675 1152 1148 1368 684.719  
2019_12_11_09_53_13_684 1576079593684 1161 1157 509 250.02  
2019_12_11_09_53_13_744 1576079593744 1221 1217 912 451.242  
2019_12_11_09_53_13_793 1576079593793 1270 1266 1185 590.282  
2019_12_11_09_53_13_803 1576079593803 1280 1276 154 76.7433  
2019_12_11_09_53_13_812 1576079593812 1289 1285 569 279.674  
2019_12_11_09_53_13_822 1576079593822 1299 1295 1319 659.336  
2019_12_11_09_53_13_825 1576079593825 1302 1298 101 51.1936  
2019_12_11_09_53_13_863 1576079593863 1340 1336 211 104.314  
2019_12_11_09_53_13_871 1576079593871 1348 1344 859 424.504  
2019_12_11_09_53_13_880 1576079593880 1357 1353 3844 2059.8  
2019_12_11_09_53_13_928 1576079593928 1405 1401 1319 659.336  
2019_12_11_09_53_13_951 1576079593951 1428 1424 395 193.97  
2019_12_11_09_53_13_958 1576079593958 1435 1431 1314 656.75  
2019_12_11_09_53_13_961 1576079593961 1438 1433 580 285.122  
2019_12_11_09_53_13_964 1576079593964 1441 1436 729 359.273  
2019_12_11_09_53_14_073 1576079594073 1550 1545 679 334.317  
2019_12_11_09_53_14_084 1576079594084 1561 1556 2190 1121.13  
2019_12_11_09_53_14_093 1576079594093 1570 1565 996 493.789  
2019_12_11_09_53_14_097 1576079594097 1574 1569 445 218.506  
2019_12_11_09_53_14_126 1576079594126 1603 1598 1033 512.596  
2019_12_11_09_53_14_140 1576079594140 1617 1612 418 205.247  
2019_12_11_09_53_14_167 1576079594167 1644 1639 486 238.681  
2019_12_11_09_53_14_213 1576079594213 1690 1685 217 107.222  
2019_12_11_09_53_14_228 1576079594228 1705 1700 119 59.8615  
2019_12_11_09_53_14_229 1576079594229 1706 1701 614 301.985  
