1576079966586 2019_12_11_09_59_26_586 2.734449 0.478300  0.000014786
2019_12_11_09_59_26_611 1576079966611 25 24 206 101.892  
2019_12_11_09_59_26_673 1576079966673 87 86 514 252.487  
2019_12_11_09_59_26_789 1576079966789 203 202 284 139.764  
2019_12_11_09_59_26_853 1576079966853 267 266 2225 1140.15  
2019_12_11_09_59_26_927 1576079966927 341 340 646 317.887  
2019_12_11_09_59_27_004 1576079967004 418 417 1554 781.719  
2019_12_11_09_59_27_017 1576079967017 431 430 418 205.247  
2019_12_11_09_59_27_085 1576079967085 499 498 192 95.1131  
2019_12_11_09_59_27_087 1576079967087 501 500 250 123.234  
2019_12_11_09_59_27_158 1576079967158 572 571 1062 527.365  
2019_12_11_09_59_27_221 1576079967221 635 634 198 98.0175  
2019_12_11_09_59_27_227 1576079967227 641 640 186 92.2098  
2019_12_11_09_59_27_260 1576079967260 674 673 969 480.09  
2019_12_11_09_59_27_261 1576079967261 675 674 1258 627.835  
2019_12_11_09_59_27_347 1576079967347 761 760 4009 2157.88  
2019_12_11_09_59_27_411 1576079967411 825 824 342 168.042  
2019_12_11_09_59_27_435 1576079967435 849 848 1055 523.798  
2019_12_11_09_59_27_464 1576079967464 878 876 159 79.1579  
2019_12_11_09_59_27_520 1576079967520 934 932 420 206.229  
2019_12_11_09_59_27_537 1576079967537 951 949 216 106.737  
2019_12_11_09_59_27_554 1576079967554 968 966 337 165.601  
2019_12_11_09_59_27_559 1576079967559 973 971 430 211.137  
2019_12_11_09_59_27_572 1576079967572 986 984 111 56.0079  
2019_12_11_09_59_27_595 1576079967595 1009 1007 566 278.189  
2019_12_11_09_59_27_665 1576079967665 1079 1077 168 83.5062  
2019_12_11_09_59_27_701 1576079967701 1115 1113 611 300.496  
2019_12_11_09_59_27_750 1576079967750 1164 1162 337 165.601  
2019_12_11_09_59_27_770 1576079967770 1184 1182 457 224.406  
2019_12_11_09_59_27_849 1576079967849 1263 1261 121 60.8252  
2019_12_11_09_59_27_892 1576079967892 1306 1304 409 200.833  
2019_12_11_09_59_27_893 1576079967893 1307 1305 177 87.8568  
2019_12_11_09_59_27_897 1576079967897 1311 1309 1343 671.76  
2019_12_11_09_59_27_912 1576079967912 1326 1324 264 130.036  
2019_12_11_09_59_27_917 1576079967917 1331 1329 295 145.12  
2019_12_11_09_59_27_918 1576079967918 1332 1329 180 89.3075  
2019_12_11_09_59_28_021 1576079968021 1435 1432 702 345.788  
