1576079433301 2019_12_11_09_50_33_301 2.734449 0.478300  0.000014786
2019_12_11_09_50_33_303 1576079433303 2 1 156 77.7091  
2019_12_11_09_50_33_303 1576079433303 2 1 4095 2209.31  
2019_12_11_09_50_33_303 1576079433303 2 1 4095 2209.31  
2019_12_11_09_50_33_303 1576079433303 2 1 280 137.818  
2019_12_11_09_50_33_303 1576079433303 2 1 2577 1333.5  
2019_12_11_09_50_33_303 1576079433303 2 1 889 439.629  
2019_12_11_09_50_33_303 1576079433303 2 1 854 421.986  
2019_12_11_09_50_33_303 1576079433303 2 1 617 303.474  
2019_12_11_09_50_33_303 1576079433303 2 1 184 91.2422  
2019_12_11_09_50_33_304 1576079433304 3 2 226 111.585  
2019_12_11_09_50_33_304 1576079433304 3 2 206 101.892  
2019_12_11_09_50_33_304 1576079433304 3 2 127 63.717  
2019_12_11_09_50_33_304 1576079433304 3 2 1100 546.755  
2019_12_11_09_50_33_304 1576079433304 3 2 392 192.5  
2019_12_11_09_50_33_304 1576079433304 3 2 476 233.755  
2019_12_11_09_50_33_304 1576079433304 3 2 88 44.9393  
2019_12_11_09_50_33_304 1576079433304 3 2 2071 1056.71  
2019_12_11_09_50_33_305 1576079433305 4 2 220 108.676  
2019_12_11_09_50_33_305 1576079433305 4 2 4095 2209.31  
2019_12_11_09_50_33_305 1576079433305 4 2 521 255.942  
2019_12_11_09_50_33_305 1576079433305 4 2 253 124.691  
2019_12_11_09_50_33_305 1576079433305 4 2 248 122.262  
2019_12_11_09_50_33_305 1576079433305 4 2 268 131.981  
2019_12_11_09_50_33_305 1576079433305 4 2 777 383.3  
2019_12_11_09_50_33_305 1576079433305 4 2 428 210.155  
2019_12_11_09_50_33_305 1576079433305 4 2 108 54.5633  
2019_12_11_09_50_33_306 1576079433306 5 3 1689 852.763  
2019_12_11_09_50_33_306 1576079433306 5 3 4095 2209.31  
2019_12_11_09_50_33_306 1576079433306 5 3 1174 584.637  
2019_12_11_09_50_33_306 1576079433306 5 3 902 446.191  
2019_12_11_09_50_33_306 1576079433306 5 3 667 328.339  
2019_12_11_09_50_33_371 1576079433371 70 68 338 166.089  
2019_12_11_09_50_33_389 1576079433389 88 86 284 139.764  
2019_12_11_09_50_33_429 1576079433429 128 126 386 189.561  
2019_12_11_09_50_33_549 1576079433549 248 245 184 91.2422  
2019_12_11_09_50_33_551 1576079433551 250 247 1115 554.421  
2019_12_11_09_50_33_563 1576079433563 262 259 738 363.773  
2019_12_11_09_50_33_620 1576079433620 319 316 117 58.898  
2019_12_11_09_50_33_654 1576079433654 353 350 453 222.439  
2019_12_11_09_50_33_655 1576079433655 354 351 165 82.0565  
2019_12_11_09_50_33_673 1576079433673 372 369 279 137.331  
2019_12_11_09_50_33_703 1576079433703 402 399 231 114.011  
2019_12_11_09_50_33_714 1576079433714 413 410 184 91.2422  
2019_12_11_09_50_33_780 1576079433780 479 476 236 116.437  
2019_12_11_09_50_33_807 1576079433807 506 503 198 98.0175  
2019_12_11_09_50_33_823 1576079433823 522 519 282 138.791  
2019_12_11_09_50_33_853 1576079433853 552 549 306 150.479  
2019_12_11_09_50_33_891 1576079433891 590 587 1576 793.26  
2019_12_11_09_50_33_914 1576079433914 613 610 369 181.24  
2019_12_11_09_50_33_915 1576079433915 614 611 916 453.263  
2019_12_11_09_50_33_943 1576079433943 642 639 236 116.437  
2019_12_11_09_50_33_947 1576079433947 646 642 221 109.161  
2019_12_11_09_50_33_968 1576079433968 667 663 939 464.895  
2019_12_11_09_50_33_994 1576079433994 693 689 966 478.57  
2019_12_11_09_50_34_052 1576079434052 751 747 237 116.922  
2019_12_11_09_50_34_101 1576079434101 800 796 195 96.5652  
2019_12_11_09_50_34_118 1576079434118 817 813 2495 1288.13  
2019_12_11_09_50_34_161 1576079434161 860 856 201 99.4701  
2019_12_11_09_50_34_162 1576079434162 861 857 231 114.011  
2019_12_11_09_50_34_196 1576079434196 895 891 268 131.981  
2019_12_11_09_50_34_251 1576079434251 950 946 106 53.6004  
2019_12_11_09_50_34_253 1576079434253 952 948 621 305.461  
2019_12_11_09_50_34_284 1576079434284 983 979 260 128.092  
2019_12_11_09_50_34_327 1576079434327 1026 1022 260 128.092  
2019_12_11_09_50_34_416 1576079434416 1115 1111 411 201.813  
2019_12_11_09_50_34_417 1576079434417 1116 1112 1333 666.581  
2019_12_11_09_50_34_465 1576079434465 1164 1160 350 171.951  
2019_12_11_09_50_34_469 1576079434469 1168 1164 723 356.274  
2019_12_11_09_50_34_487 1576079434487 1186 1181 432 212.119  
2019_12_11_09_50_34_510 1576079434510 1209 1204 312 153.403  
2019_12_11_09_50_34_527 1576079434527 1226 1221 221 109.161  
