1576085921039 2019_12_11_11_38_41_039 2.734449 0.478300  0.000014786
2019_12_11_11_38_41_053 1576085921053 14 13 166 82.5397  
2019_12_11_11_38_41_069 1576085921069 30 29 992 491.758  
2019_12_11_11_38_41_086 1576085921086 47 46 708 348.782  
2019_12_11_11_38_41_135 1576085921135 96 95 497 244.102  
2019_12_11_11_38_41_139 1576085921139 100 99 1358 679.533  
2019_12_11_11_38_41_143 1576085921143 104 103 117 58.898  
2019_12_11_11_38_41_160 1576085921160 121 120 1388 695.1  
2019_12_11_11_38_41_173 1576085921173 134 133 479 235.233  
2019_12_11_11_38_41_174 1576085921174 135 134 290 142.685  
2019_12_11_11_38_41_178 1576085921178 139 138 413 202.794  
2019_12_11_11_38_41_179 1576085921179 140 139 202 99.9544  
2019_12_11_11_38_41_206 1576085921206 167 166 413 202.794  
2019_12_11_11_38_41_262 1576085921262 223 222 4095 2209.31  
2019_12_11_11_38_41_313 1576085921313 274 273 560 275.219  
2019_12_11_11_38_41_361 1576085921361 322 321 1352 676.423  
2019_12_11_11_38_41_372 1576085921372 333 332 1678 846.954  
2019_12_11_11_38_41_399 1576085921399 360 359 1277 637.635  
2019_12_11_11_38_41_405 1576085921405 366 364 637 313.411  
2019_12_11_11_38_41_433 1576085921433 394 392 502 246.567  
2019_12_11_11_38_41_435 1576085921435 396 394 514 252.487  
2019_12_11_11_38_41_437 1576085921437 398 396 168 83.5062  
2019_12_11_11_38_41_467 1576085921467 428 426 199 98.5017  
2019_12_11_11_38_41_492 1576085921492 453 451 469 230.309  
2019_12_11_11_38_41_494 1576085921494 455 453 210 103.829  
2019_12_11_11_38_41_504 1576085921504 465 463 373 183.197  
2019_12_11_11_38_41_507 1576085921507 468 466 1293 645.896  
2019_12_11_11_38_41_533 1576085921533 494 492 445 218.506  
2019_12_11_11_38_41_538 1576085921538 499 497 314 154.378  
2019_12_11_11_38_41_540 1576085921540 501 499 279 137.331  
2019_12_11_11_38_41_596 1576085921596 557 555 1346 673.314  
2019_12_11_11_38_41_617 1576085921617 578 576 171 84.9561  
2019_12_11_11_38_41_650 1576085921650 611 609 918 454.274  
2019_12_11_11_38_41_666 1576085921666 627 625 141 70.4687  
2019_12_11_11_38_41_699 1576085921699 660 658 187 92.6936  
2019_12_11_11_38_41_700 1576085921700 661 658 902 446.191  
2019_12_11_11_38_41_709 1576085921709 670 667 1961 997.539  
2019_12_11_11_38_41_730 1576085921730 691 688 974 482.625  
2019_12_11_11_38_41_741 1576085921741 702 699 248 122.262  
2019_12_11_11_38_41_748 1576085921748 709 706 320 157.305  
2019_12_11_11_38_41_761 1576085921761 722 719 962 476.542  
2019_12_11_11_38_41_866 1576085921866 827 824 250 123.234  
2019_12_11_11_38_41_913 1576085921913 874 871 198 98.0175  
2019_12_11_11_38_41_945 1576085921945 906 903 386 189.561  
2019_12_11_11_38_41_973 1576085921973 934 931 301 148.042  
2019_12_11_11_38_41_976 1576085921976 937 934 298 146.581  
2019_12_11_11_38_42_006 1576085922006 967 964 174 86.4063  
2019_12_11_11_38_42_025 1576085922025 986 983 222 109.646  
2019_12_11_11_38_42_053 1576085922053 1014 1011 1383 692.504  
2019_12_11_11_38_42_063 1576085922063 1024 1021 437 214.575  
2019_12_11_11_38_42_064 1576085922064 1025 1022 1412 707.573  
2019_12_11_11_38_42_065 1576085922065 1026 1023 593 291.566  
2019_12_11_11_38_42_092 1576085922092 1053 1049 819 404.38  
2019_12_11_11_38_42_096 1576085922096 1057 1053 597 293.549  
2019_12_11_11_38_42_097 1576085922097 1058 1054 1802 912.643  
2019_12_11_11_38_42_126 1576085922126 1087 1083 440 216.049  
2019_12_11_11_38_42_134 1576085922134 1095 1091 139 69.5038  
2019_12_11_11_38_42_185 1576085922185 1146 1142 98 49.7499  
2019_12_11_11_38_42_210 1576085922210 1171 1167 78 40.1318  
2019_12_11_11_38_42_274 1576085922274 1235 1231 383 188.092  
2019_12_11_11_38_42_275 1576085922275 1236 1232 109 55.0448  
2019_12_11_11_38_42_306 1576085922306 1267 1263 361 177.328  
2019_12_11_11_38_42_323 1576085922323 1284 1280 671 330.331  
2019_12_11_11_38_42_339 1576085922339 1300 1296 445 218.506  
2019_12_11_11_38_42_340 1576085922340 1301 1297 362 177.817  
2019_12_11_11_38_42_341 1576085922341 1302 1298 211 104.314  
2019_12_11_11_38_42_371 1576085922371 1332 1328 346 169.996  
2019_12_11_11_38_42_373 1576085922373 1334 1330 544 267.305  
2019_12_11_11_38_42_443 1576085922443 1404 1400 673 331.327  
2019_12_11_11_38_42_449 1576085922449 1410 1405 1315 657.267  
2019_12_11_11_38_42_471 1576085922471 1432 1427 183 90.7585  
2019_12_11_11_38_42_486 1576085922486 1447 1442 744 366.774  
2019_12_11_11_38_42_553 1576085922553 1514 1509 348 170.973  
2019_12_11_11_38_42_562 1576085922562 1523 1518 1387 694.581  
2019_12_11_11_38_42_564 1576085922564 1525 1520 798 393.833  
2019_12_11_11_38_42_571 1576085922571 1532 1527 435 213.593  
2019_12_11_11_38_42_849 1576085922849 1810 1805 222 109.646  
2019_12_11_11_38_42_850 1576085922850 1811 1806 300 147.555  
2019_12_11_11_38_42_851 1576085922851 1812 1807 518 254.461  
2019_12_11_11_38_42_851 1576085922851 1812 1807 709 349.282  
2019_12_11_11_38_42_851 1576085922851 1812 1807 839 414.436  
2019_12_11_11_38_42_852 1576085922852 1813 1808 168 83.5062  
2019_12_11_11_38_42_852 1576085922852 1813 1808 448 219.98  
