1576079520349 2019_12_11_09_52_00_349 2.734449 0.478300  0.000014786
2019_12_11_09_52_00_381 1576079520381 32 31 256 126.148  
2019_12_11_09_52_00_460 1576079520460 111 110 215 106.252  
2019_12_11_09_52_00_559 1576079520559 210 209 444 218.014  
2019_12_11_09_52_00_565 1576079520565 216 215 1011 501.409  
2019_12_11_09_52_00_572 1576079520572 223 222 564 277.199  
2019_12_11_09_52_00_589 1576079520589 240 239 462 226.865  
2019_12_11_09_52_00_600 1576079520600 251 250 254 125.177  
2019_12_11_09_52_00_643 1576079520643 294 293 653 321.369  
2019_12_11_09_52_00_648 1576079520648 299 298 307 150.966  
2019_12_11_09_52_00_677 1576079520677 328 327 387 190.051  
2019_12_11_09_52_00_695 1576079520695 346 345 298 146.581  
2019_12_11_09_52_00_752 1576079520752 403 402 251 123.719  
2019_12_11_09_52_00_800 1576079520800 451 450 340 167.066  
2019_12_11_09_52_00_895 1576079520895 546 545 608 299.007  
2019_12_11_09_52_00_901 1576079520901 552 551 201 99.4701  
2019_12_11_09_52_00_923 1576079520923 574 573 132 66.1277  
2019_12_11_09_52_00_961 1576079520961 612 611 150 74.8121  
2019_12_11_09_52_00_986 1576079520986 637 635 80 41.0931  
2019_12_11_09_52_00_991 1576079520991 642 640 738 363.773  
2019_12_11_09_52_01_041 1576079521041 692 690 197 97.5334  
2019_12_11_09_52_01_090 1576079521090 741 739 180 89.3075  
2019_12_11_09_52_01_152 1576079521152 803 801 235 115.951  
2019_12_11_09_52_01_157 1576079521157 808 806 259 127.606  
2019_12_11_09_52_01_246 1576079521246 897 895 188 93.1774  
2019_12_11_09_52_01_272 1576079521272 923 921 593 291.566  
2019_12_11_09_52_01_401 1576079521401 1052 1050 123 61.789  
2019_12_11_09_52_01_408 1576079521408 1059 1057 630 309.932  
2019_12_11_09_52_01_429 1576079521429 1080 1078 468 229.817  
2019_12_11_09_52_01_452 1576079521452 1103 1101 91 46.3822  
2019_12_11_09_52_01_551 1576079521551 1202 1200 1360 680.57  
2019_12_11_09_52_01_589 1576079521589 1240 1238 378 185.644  
2019_12_11_09_52_01_650 1576079521650 1301 1299 296 145.607  
2019_12_11_09_52_01_667 1576079521667 1318 1316 296 145.607  
2019_12_11_09_52_01_678 1576079521678 1329 1327 291 143.172  
2019_12_11_09_52_01_725 1576079521725 1376 1373 152 75.7777  
2019_12_11_09_52_01_732 1576079521732 1383 1380 246 121.291  
2019_12_11_09_52_01_739 1576079521739 1390 1387 151 75.2949  
2019_12_11_09_52_01_790 1576079521790 1441 1438 1884 956.333  
2019_12_11_09_52_01_845 1576079521845 1496 1493 431 211.628  
2019_12_11_09_52_01_864 1576079521864 1515 1512 584 287.104  
2019_12_11_09_52_01_996 1576079521996 1647 1644 304 149.504  
2019_12_11_09_52_02_048 1576079522048 1699 1696 172 85.4395  
2019_12_11_09_52_02_136 1576079522136 1787 1784 241 118.864  
2019_12_11_09_52_02_167 1576079522167 1818 1815 120 60.3434  
2019_12_11_09_52_02_192 1576079522192 1843 1840 218 107.707  
2019_12_11_09_52_02_217 1576079522217 1868 1865 336 165.112  
2019_12_11_09_52_02_222 1576079522222 1873 1870 205 101.407  
2019_12_11_09_52_02_269 1576079522269 1920 1917 259 127.606  
2019_12_11_09_52_02_276 1576079522276 1927 1924 1230 613.413  
2019_12_11_09_52_02_290 1576079522290 1941 1938 932 461.353  
2019_12_11_09_52_02_302 1576079522302 1953 1950 301 148.042  
2019_12_11_09_52_02_329 1576079522329 1980 1976 200 98.9859  
2019_12_11_09_52_02_337 1576079522337 1988 1984 118 59.3797  
2019_12_11_09_52_02_347 1576079522347 1998 1994 68 35.3272  
2019_12_11_09_52_02_374 1576079522374 2025 2021 390 191.52  
2019_12_11_09_52_02_404 1576079522404 2055 2051 462 226.865  
2019_12_11_09_52_02_414 1576079522414 2065 2061 251 123.719  
2019_12_11_09_52_02_457 1576079522457 2108 2104 189 93.6613  
2019_12_11_09_52_02_478 1576079522478 2129 2125 301 148.042  
2019_12_11_09_52_02_498 1576079522498 2149 2145 238 117.407  
2019_12_11_09_52_02_671 1576079522671 2322 2318 410 201.323  
2019_12_11_09_52_02_672 1576079522672 2323 2319 515 252.98  
2019_12_11_09_52_02_689 1576079522689 2340 2336 1508 757.634  
2019_12_11_09_52_02_971 1576079522971 2622 2618 483 237.203  
2019_12_11_09_52_02_972 1576079522972 2623 2619 210 103.829  
2019_12_11_09_52_02_973 1576079522973 2624 2620 316 155.354  
2019_12_11_09_52_02_973 1576079522973 2624 2620 355 174.394  
2019_12_11_09_52_02_973 1576079522973 2624 2620 52 27.646  
2019_12_11_09_52_02_974 1576079522974 2625 2620 604 297.022  
2019_12_11_09_52_02_974 1576079522974 2625 2620 559 274.724  
2019_12_11_09_52_02_974 1576079522974 2625 2620 1978 1006.66  
2019_12_11_09_52_02_993 1576079522993 2644 2639 1117 555.444  
2019_12_11_09_52_03_045 1576079523045 2696 2691 501 246.074  
2019_12_11_09_52_03_076 1576079523076 2727 2722 291 143.172  
2019_12_11_09_52_03_094 1576079523094 2745 2740 505 248.047  
2019_12_11_09_52_03_154 1576079523154 2805 2800 174 86.4063  
2019_12_11_09_52_03_161 1576079523161 2812 2807 201 99.4701  
2019_12_11_09_52_03_212 1576079523212 2863 2858 2319 1191.43  
2019_12_11_09_52_03_216 1576079523216 2867 2862 325 159.744  
2019_12_11_09_52_03_222 1576079523222 2873 2868 703 346.287  
2019_12_11_09_52_03_253 1576079523253 2904 2899 372 182.708  
2019_12_11_09_52_03_259 1576079523259 2910 2905 254 125.177  
2019_12_11_09_52_03_285 1576079523285 2936 2931 2825 1471.93  
2019_12_11_09_52_03_290 1576079523290 2941 2936 428 210.155  
2019_12_11_09_52_03_429 1576079523429 3080 3075 460 225.881  
2019_12_11_09_52_03_500 1576079523500 3151 3146 212 104.799  
2019_12_11_09_52_03_554 1576079523554 3205 3199 170 84.4728  
2019_12_11_09_52_03_577 1576079523577 3228 3222 440 216.049  
2019_12_11_09_52_03_578 1576079523578 3229 3223 458 224.897  
2019_12_11_09_52_03_587 1576079523587 3238 3232 144 71.9162  
2019_12_11_09_52_03_610 1576079523610 3261 3255 496 243.609  
2019_12_11_09_52_03_628 1576079523628 3279 3273 559 274.724  
2019_12_11_09_52_03_630 1576079523630 3281 3275 173 85.9229  
2019_12_11_09_52_03_631 1576079523631 3282 3276 1790 906.266  
2019_12_11_09_52_03_695 1576079523695 3346 3340 236 116.437  
2019_12_11_09_52_03_709 1576079523709 3360 3354 332 163.16  
2019_12_11_09_52_03_724 1576079523724 3375 3369 1279 638.667  
2019_12_11_09_52_03_728 1576079523728 3379 3373 314 154.378  
2019_12_11_09_52_03_765 1576079523765 3416 3410 236 116.437  
2019_12_11_09_52_03_788 1576079523788 3439 3433 149 74.3294  
2019_12_11_09_52_03_815 1576079523815 3466 3460 251 123.719  
2019_12_11_09_52_03_941 1576079523941 3592 3586 326 160.232  
2019_12_11_09_52_04_025 1576079524025 3676 3670 2211 1132.54  
2019_12_11_09_52_04_078 1576079524078 3729 3722 196 97.0493  
2019_12_11_09_52_04_096 1576079524096 3747 3740 346 169.996  
2019_12_11_09_52_04_166 1576079524166 3817 3810 1956 994.858  
2019_12_11_09_52_04_214 1576079524214 3865 3858 326 160.232  
2019_12_11_09_52_04_231 1576079524231 3882 3875 231 114.011  
2019_12_11_09_52_04_232 1576079524232 3883 3876 1379 690.427  
2019_12_11_09_52_04_248 1576079524248 3899 3892 240 118.378  
2019_12_11_09_52_04_255 1576079524255 3906 3899 408 200.342  
2019_12_11_09_52_04_256 1576079524256 3907 3900 914 452.253  
2019_12_11_09_52_04_270 1576079524270 3921 3914 302 148.53  
2019_12_11_09_52_04_274 1576079524274 3925 3918 327 160.72  
2019_12_11_09_52_04_312 1576079524312 3963 3956 582 286.113  
2019_12_11_09_52_04_329 1576079524329 3980 3973 1446 725.272  
2019_12_11_09_52_04_332 1576079524332 3983 3976 121 60.8252  
2019_12_11_09_52_04_348 1576079524348 3999 3992 154 76.7433  
2019_12_11_09_52_04_387 1576079524387 4038 4031 209 103.345  
