1571870548465 2019_10_23_17_42_28_465 2.734449 0.478300  0.000014786
2019_10_23_17_42_28_469 1571870548469 4 3 376 184.666  
2019_10_23_17_42_28_472 1571870548472 7 6 377 185.155  
2019_10_23_17_42_28_492 1571870548492 27 26 1194 594.904  
2019_10_23_17_42_28_501 1571870548501 36 35 1353 676.941  
2019_10_23_17_42_28_532 1571870548532 67 66 489 240.159  
2019_10_23_17_42_28_544 1571870548544 79 78 1156 575.408  
2019_10_23_17_42_28_555 1571870548555 90 89 921 455.791  
2019_10_23_17_42_28_556 1571870548556 91 90 588 289.087  
2019_10_23_17_42_28_557 1571870548557 92 91 590 290.078  
2019_10_23_17_42_28_564 1571870548564 99 98 682 335.812  
2019_10_23_17_42_28_570 1571870548570 105 104 133 66.6099  
2019_10_23_17_42_28_621 1571870548621 156 155 2563 1325.74  
2019_10_23_17_42_28_650 1571870548650 185 184 311 152.916  
2019_10_23_17_42_28_654 1571870548654 189 188 134 67.0921  
2019_10_23_17_42_28_676 1571870548676 211 210 1341 670.724  
2019_10_23_17_42_28_684 1571870548684 219 218 836 412.927  
2019_10_23_17_42_28_716 1571870548716 251 250 714 351.778  
2019_10_23_17_42_28_717 1571870548717 252 250 1138 566.188  
2019_10_23_17_42_28_726 1571870548726 261 259 701 345.288  
2019_10_23_17_42_28_727 1571870548727 262 260 682 335.812  
2019_10_23_17_42_28_729 1571870548729 264 262 537 263.845  
2019_10_23_17_42_28_744 1571870548744 279 277 493 242.13  
2019_10_23_17_42_28_745 1571870548745 280 278 878 434.08  
2019_10_23_17_42_28_752 1571870548752 287 285 813 401.365  
2019_10_23_17_42_28_754 1571870548754 289 287 788 388.816  
2019_10_23_17_42_28_763 1571870548763 298 296 596 293.053  
2019_10_23_17_42_28_769 1571870548769 304 302 502 246.567  
2019_10_23_17_42_28_788 1571870548788 323 321 596 293.053  
2019_10_23_17_42_28_807 1571870548807 342 340 193 95.5971  
2019_10_23_17_42_28_808 1571870548808 343 341 152 75.7777  
2019_10_23_17_42_28_812 1571870548812 347 345 267 131.495  
2019_10_23_17_42_28_819 1571870548819 354 352 100 50.7123  
2019_10_23_17_42_28_830 1571870548830 365 363 774 381.796  
2019_10_23_17_42_28_832 1571870548832 367 365 513 251.993  
2019_10_23_17_42_28_839 1571870548839 374 371 463 227.357  
2019_10_23_17_42_28_857 1571870548857 392 389 253 124.691  
2019_10_23_17_42_28_864 1571870548864 399 396 434 213.102  
2019_10_23_17_42_28_889 1571870548889 424 421 180 89.3075  
2019_10_23_17_42_28_890 1571870548890 425 422 167 83.0229  
2019_10_23_17_42_28_891 1571870548891 426 423 1804 913.706  
2019_10_23_17_42_28_907 1571870548907 442 439 937 463.883  
2019_10_23_17_42_28_910 1571870548910 445 442 574 282.15  
2019_10_23_17_42_28_919 1571870548919 454 451 1217 606.724  
2019_10_23_17_42_28_940 1571870548940 475 472 2800 1457.89  
2019_10_23_17_42_28_941 1571870548941 476 473 436 214.084  
2019_10_23_17_42_28_964 1571870548964 499 496 812 400.863  
2019_10_23_17_42_28_973 1571870548973 508 505 352 172.928  
2019_10_23_17_42_28_989 1571870548989 524 521 241 118.864  
2019_10_23_17_42_28_990 1571870548990 525 522 1394 698.217  
2019_10_23_17_42_28_995 1571870548995 530 527 354 173.906  
2019_10_23_17_42_28_998 1571870548998 533 530 320 157.305  
2019_10_23_17_42_28_999 1571870548999 534 530 236 116.437  
2019_10_23_17_42_29_004 1571870549004 539 535 307 150.966  
2019_10_23_17_42_29_006 1571870549006 541 537 919 454.78  
2019_10_23_17_42_29_007 1571870549007 542 538 1127 560.558  
