1571934820107 2019_10_24_11_33_40_107 2.734449 0.478300  0.000014786
2019_10_24_11_33_40_827 1571934820827 720 719 1217 606.724  
2019_10_24_11_33_40_827 1571934820827 720 719 517 253.968  
2019_10_24_11_33_40_828 1571934820828 721 720 83 42.5352  
2019_10_24_11_33_40_828 1571934820828 721 720 147 73.3641  
2019_10_24_11_33_40_829 1571934820829 722 721 236 116.437  
2019_10_24_11_33_40_829 1571934820829 722 721 102 51.6749  
2019_10_24_11_33_40_829 1571934820829 722 721 95 48.3064  
2019_10_24_11_33_40_829 1571934820829 722 721 176 87.3733  
2019_10_24_11_33_40_829 1571934820829 722 721 266 131.008  
2019_10_24_11_33_40_829 1571934820829 722 721 84 43.016  
2019_10_24_11_33_40_829 1571934820829 722 721 169 83.9894  
2019_10_24_11_33_40_829 1571934820829 722 721 270 132.953  
2019_10_24_11_33_40_829 1571934820829 722 721 176 87.3733  
2019_10_24_11_33_40_830 1571934820830 723 722 189 93.6613  
2019_10_24_11_33_40_830 1571934820830 723 722 248 122.262  
2019_10_24_11_33_40_830 1571934820830 723 722 176 87.3733  
2019_10_24_11_33_40_830 1571934820830 723 722 357 175.372  
2019_10_24_11_33_40_830 1571934820830 723 721 577 283.636  
2019_10_24_11_33_40_830 1571934820830 723 721 97 49.2687  
2019_10_24_11_33_40_830 1571934820830 723 721 302 148.53  
2019_10_24_11_33_40_830 1571934820830 723 721 122 61.3071  
2019_10_24_11_33_40_830 1571934820830 723 721 174 86.4063  
2019_10_24_11_33_40_831 1571934820831 724 722 282 138.791  
2019_10_24_11_33_40_831 1571934820831 724 722 273 134.412  
2019_10_24_11_33_40_831 1571934820831 724 722 174 86.4063  
2019_10_24_11_33_40_831 1571934820831 724 722 443 217.523  
2019_10_24_11_33_40_831 1571934820831 724 722 191 94.6291  
2019_10_24_11_33_40_831 1571934820831 724 722 90 45.9012  
2019_10_24_11_33_40_831 1571934820831 724 722 136 68.0567  
2019_10_24_11_33_40_831 1571934820831 724 722 607 298.51  
2019_10_24_11_33_40_831 1571934820831 724 722 126 63.235  
2019_10_24_11_33_40_832 1571934820832 725 723 286 140.738  
2019_10_24_11_33_40_832 1571934820832 725 723 191 94.6291  
2019_10_24_11_33_40_874 1571934820874 767 765 1122 558.001  
2019_10_24_11_33_40_922 1571934820922 815 812 150 74.8121  
2019_10_24_11_33_40_926 1571934820926 819 816 171 84.9561  
2019_10_24_11_33_40_960 1571934820960 853 850 358 175.861  
2019_10_24_11_33_40_977 1571934820977 870 867 140 69.9862  
2019_10_24_11_33_40_980 1571934820980 873 870 264 130.036  
2019_10_24_11_33_40_982 1571934820982 875 872 639 314.405  
2019_10_24_11_33_40_988 1571934820988 881 878 343 168.531  
2019_10_24_11_33_41_014 1571934821014 907 904 619 304.467  
2019_10_24_11_33_41_017 1571934821017 910 907 394 193.48  
2019_10_24_11_33_41_072 1571934821072 965 962 295 145.12  
2019_10_24_11_33_41_109 1571934821109 1002 999 472 231.786  
2019_10_24_11_33_41_160 1571934821160 1053 1050 271 133.44  
2019_10_24_11_33_41_211 1571934821211 1104 1101 167 83.0229  
2019_10_24_11_33_41_282 1571934821282 1175 1172 458 224.897  
2019_10_24_11_33_41_336 1571934821336 1229 1226 278 136.845  
2019_10_24_11_33_41_396 1571934821396 1289 1286 754 371.779  
2019_10_24_11_33_41_405 1571934821405 1298 1295 128 64.1991  
2019_10_24_11_33_41_410 1571934821410 1303 1299 77 39.6512  
2019_10_24_11_33_41_491 1571934821491 1384 1380 386 189.561  
2019_10_24_11_33_41_534 1571934821534 1427 1423 172 85.4395  
2019_10_24_11_33_41_564 1571934821564 1457 1453 408 200.342  
2019_10_24_11_33_41_652 1571934821652 1545 1541 1252 624.743  
2019_10_24_11_33_41_732 1571934821732 1625 1621 745 367.274  
2019_10_24_11_33_41_790 1571934821790 1683 1679 249 122.748  
2019_10_24_11_33_41_881 1571934821881 1774 1770 168 83.5062  
2019_10_24_11_33_42_044 1571934822044 1937 1933 207 102.376  
2019_10_24_11_33_42_082 1571934822082 1975 1971 178 88.3403  
2019_10_24_11_33_42_198 1571934822198 2091 2087 539 264.834  
2019_10_24_11_33_42_239 1571934822239 2132 2128 327 160.72  
2019_10_24_11_33_42_252 1571934822252 2145 2141 166 82.5397  
2019_10_24_11_33_42_292 1571934822292 2185 2181 369 181.24  
2019_10_24_11_33_42_326 1571934822326 2219 2215 444 218.014  
2019_10_24_11_33_42_356 1571934822356 2249 2245 281 138.304  
2019_10_24_11_33_42_364 1571934822364 2257 2253 328 161.208  
2019_10_24_11_33_42_389 1571934822389 2282 2277 492 241.637  
2019_10_24_11_33_42_391 1571934822391 2284 2279 540 265.328  
2019_10_24_11_33_42_421 1571934822421 2314 2309 472 231.786  
2019_10_24_11_33_42_551 1571934822551 2444 2439 459 225.389  
2019_10_24_11_33_42_614 1571934822614 2507 2502 1521 764.435  
2019_10_24_11_33_42_654 1571934822654 2547 2542 250 123.234  
2019_10_24_11_33_42_666 1571934822666 2559 2554 1326 662.958  
2019_10_24_11_33_42_682 1571934822682 2575 2570 408 200.342  
2019_10_24_11_33_42_684 1571934822684 2577 2572 455 223.422  
2019_10_24_11_33_42_695 1571934822695 2588 2583 265 130.522  
2019_10_24_11_33_42_701 1571934822701 2594 2589 276 135.872  
2019_10_24_11_33_42_726 1571934822726 2619 2614 561 275.714  
2019_10_24_11_33_42_782 1571934822782 2675 2670 1255 626.289  
2019_10_24_11_33_42_939 1571934822939 2832 2827 129 64.6812  
2019_10_24_11_33_42_958 1571934822958 2851 2846 654 321.867  
2019_10_24_11_33_43_011 1571934823011 2904 2899 223 110.131  
2019_10_24_11_33_43_030 1571934823030 2923 2918 734 361.773  
2019_10_24_11_33_43_031 1571934823031 2924 2919 316 155.354  
2019_10_24_11_33_43_034 1571934823034 2927 2921 202 99.9544  
2019_10_24_11_33_43_038 1571934823038 2931 2925 122 61.3071  
2019_10_24_11_33_43_081 1571934823081 2974 2968 758 373.781  
2019_10_24_11_33_43_128 1571934823128 3021 3015 363 178.306  
2019_10_24_11_33_43_148 1571934823148 3041 3035 536 263.351  
2019_10_24_11_33_43_188 1571934823188 3081 3075 70 36.2879  
2019_10_24_11_33_43_209 1571934823209 3102 3096 702 345.788  
2019_10_24_11_33_43_229 1571934823229 3122 3116 226 111.585  
2019_10_24_11_33_43_232 1571934823232 3125 3119 1327 663.475  
2019_10_24_11_33_43_261 1571934823261 3154 3148 325 159.744  
2019_10_24_11_33_43_305 1571934823305 3198 3192 930 460.342  
2019_10_24_11_33_43_319 1571934823319 3212 3206 377 185.155  
2019_10_24_11_33_43_323 1571934823323 3216 3210 75 38.6901  
2019_10_24_11_33_43_344 1571934823344 3237 3231 1326 662.958  
2019_10_24_11_33_43_402 1571934823402 3295 3289 155 77.2262  
2019_10_24_11_33_43_482 1571934823482 3375 3369 401 196.91  
2019_10_24_11_33_43_483 1571934823483 3376 3370 1051 521.76  
2019_10_24_11_33_43_492 1571934823492 3385 3378 124 62.271  
2019_10_24_11_33_43_508 1571934823508 3401 3394 1433 718.501  
2019_10_24_11_33_43_529 1571934823529 3422 3415 391 192.01  
2019_10_24_11_33_43_549 1571934823549 3442 3435 393 192.99  
2019_10_24_11_33_43_555 1571934823555 3448 3441 136 68.0567  
2019_10_24_11_33_43_580 1571934823580 3473 3466 1327 663.475  
2019_10_24_11_33_43_620 1571934823620 3513 3506 520 255.449  
2019_10_24_11_33_43_640 1571934823640 3533 3526 1625 819.015  
2019_10_24_11_33_43_646 1571934823646 3539 3532 410 201.323  
2019_10_24_11_33_43_649 1571934823649 3542 3535 431 211.628  
2019_10_24_11_33_43_650 1571934823650 3543 3536 1013 502.425  
2019_10_24_11_33_43_656 1571934823656 3549 3542 1366 683.682  
2019_10_24_11_33_43_679 1571934823679 3572 3565 1006 498.868  
2019_10_24_11_33_43_680 1571934823680 3573 3566 358 175.861  
2019_10_24_11_33_43_733 1571934823733 3626 3619 2165 1107.56  
2019_10_24_11_33_43_749 1571934823749 3642 3635 677 333.32  
2019_10_24_11_33_43_758 1571934823758 3651 3644 573 281.655  
2019_10_24_11_33_43_825 1571934823825 3718 3710 559 274.724  
2019_10_24_11_33_43_846 1571934823846 3739 3731 181 89.7911  
2019_10_24_11_33_43_848 1571934823848 3741 3733 87 44.4585  
2019_10_24_11_33_43_885 1571934823885 3778 3770 240 118.378  
2019_10_24_11_33_43_904 1571934823904 3797 3789 595 292.557  
2019_10_24_11_33_43_912 1571934823912 3805 3797 127 63.717  
2019_10_24_11_33_43_939 1571934823939 3832 3824 184 91.2422  
2019_10_24_11_33_43_945 1571934823945 3838 3830 597 293.549  
2019_10_24_11_33_43_982 1571934823982 3875 3867 304 149.504  
2019_10_24_11_33_43_983 1571934823983 3876 3868 1830 927.539  
2019_10_24_11_33_43_995 1571934823995 3888 3880 1373 687.313  
2019_10_24_11_33_44_013 1571934824013 3906 3898 291 143.172  
2019_10_24_11_33_44_029 1571934824029 3922 3914 579 284.627  
2019_10_24_11_33_44_033 1571934824033 3926 3918 219 108.191  
2019_10_24_11_33_44_036 1571934824036 3929 3921 397 194.95  
2019_10_24_11_33_44_037 1571934824037 3930 3922 358 175.861  
2019_10_24_11_33_44_041 1571934824041 3934 3926 676 332.822  
2019_10_24_11_33_44_072 1571934824072 3965 3956 1341 670.724  
2019_10_24_11_33_44_073 1571934824073 3966 3957 444 218.014  
2019_10_24_11_33_44_091 1571934824091 3984 3975 828 408.904  
2019_10_24_11_33_44_094 1571934824094 3987 3978 718 353.776  
2019_10_24_11_33_44_095 1571934824095 3988 3979 342 168.042  
2019_10_24_11_33_44_096 1571934824096 3989 3980 170 84.4728  
2019_10_24_11_33_44_097 1571934824097 3990 3981 342 168.042  
2019_10_24_11_33_44_111 1571934824111 4004 3995 87 44.4585  
2019_10_24_11_33_44_113 1571934824113 4006 3997 647 318.384  
2019_10_24_11_33_44_193 1571934824193 4086 4077 466 228.833  
2019_10_24_11_33_44_211 1571934824211 4104 4095 265 130.522  
2019_10_24_11_33_44_222 1571934824222 4115 4106 2920 1525.44  
2019_10_24_11_33_44_237 1571934824237 4130 4121 745 367.274  
2019_10_24_11_33_44_282 1571934824282 4175 4166 867 428.535  
2019_10_24_11_33_44_316 1571934824316 4209 4200 257 126.634  
2019_10_24_11_33_44_347 1571934824347 4240 4231 190 94.1452  
2019_10_24_11_33_44_380 1571934824380 4273 4264 671 330.331  
2019_10_24_11_33_44_384 1571934824384 4277 4267 520 255.449  
2019_10_24_11_33_44_394 1571934824394 4287 4277 269 132.467  
2019_10_24_11_33_44_408 1571934824408 4301 4291 363 178.306  
2019_10_24_11_33_44_411 1571934824411 4304 4294 1287 642.797  
2019_10_24_11_33_44_424 1571934824424 4317 4307 979 485.161  
2019_10_24_11_33_44_467 1571934824467 4360 4350 676 332.822  
2019_10_24_11_33_44_474 1571934824474 4367 4357 142 70.9512  
2019_10_24_11_33_44_478 1571934824478 4371 4361 564 277.199  
2019_10_24_11_33_44_499 1571934824499 4392 4382 238 117.407  
2019_10_24_11_33_44_535 1571934824535 4428 4418 822 405.888  
2019_10_24_11_33_44_536 1571934824536 4429 4419 320 157.305  
2019_10_24_11_33_44_556 1571934824556 4449 4439 645 317.389  
2019_10_24_11_33_44_569 1571934824569 4462 4452 476 233.755  
2019_10_24_11_33_44_601 1571934824601 4494 4484 622 305.957  
2019_10_24_11_33_44_606 1571934824606 4499 4489 214 105.768  
2019_10_24_11_33_44_622 1571934824622 4515 4505 1077 535.014  
2019_10_24_11_33_44_623 1571934824623 4516 4506 155 77.2262  
2019_10_24_11_33_44_639 1571934824639 4532 4522 465 228.341  
2019_10_24_11_33_44_672 1571934824672 4565 4554 116 58.4162  
2019_10_24_11_33_44_677 1571934824677 4570 4559 1337 668.652  
2019_10_24_11_33_44_688 1571934824688 4581 4570 1357 679.015  
2019_10_24_11_33_44_696 1571934824696 4589 4578 586 288.096  
2019_10_24_11_33_44_697 1571934824697 4590 4579 1328 663.993  
2019_10_24_11_33_44_708 1571934824708 4601 4590 533 261.869  
2019_10_24_11_33_44_713 1571934824713 4606 4595 265 130.522  
2019_10_24_11_33_44_747 1571934824747 4640 4629 1205 600.555  
2019_10_24_11_33_44_792 1571934824792 4685 4674 255 125.662  
2019_10_24_11_33_44_796 1571934824796 4689 4678 63 32.926  
2019_10_24_11_33_44_802 1571934824802 4695 4684 322 158.28  
2019_10_24_11_33_44_863 1571934824863 4756 4745 326 160.232  
2019_10_24_11_33_44_869 1571934824869 4762 4751 278 136.845  
2019_10_24_11_33_44_871 1571934824871 4764 4753 968 479.583  
2019_10_24_11_33_44_874 1571934824874 4767 4756 676 332.822  
2019_10_24_11_33_44_878 1571934824878 4771 4760 934 462.365  
2019_10_24_11_33_44_896 1571934824896 4789 4778 158 78.675  
2019_10_24_11_33_44_925 1571934824925 4818 4806 394 193.48  
2019_10_24_11_33_44_926 1571934824926 4819 4807 145 72.3988  
2019_10_24_11_33_44_927 1571934824927 4820 4808 377 185.155  
2019_10_24_11_33_44_941 1571934824941 4834 4822 1256 626.804  
2019_10_24_11_33_44_948 1571934824948 4841 4829 608 299.007  
2019_10_24_11_33_44_958 1571934824958 4851 4839 389 191.031  
2019_10_24_11_33_44_962 1571934824962 4855 4843 504 247.553  
2019_10_24_11_33_44_976 1571934824976 4869 4857 436 214.084  
2019_10_24_11_33_44_983 1571934824983 4876 4864 299 147.068  
2019_10_24_11_33_44_989 1571934824989 4882 4870 1251 624.227  
2019_10_24_11_33_45_014 1571934825014 4907 4895 637 313.411  
2019_10_24_11_33_45_033 1571934825033 4926 4914 451 221.455  
2019_10_24_11_33_45_035 1571934825035 4928 4916 1243 620.106  
2019_10_24_11_33_45_037 1571934825037 4930 4918 1307 653.13  
2019_10_24_11_33_45_067 1571934825067 4960 4948 76 39.1707  
2019_10_24_11_33_45_080 1571934825080 4973 4961 563 276.704  
2019_10_24_11_33_45_093 1571934825093 4986 4974 950 470.464  
2019_10_24_11_33_45_105 1571934825105 4998 4985 235 115.951  
2019_10_24_11_33_45_108 1571934825108 5001 4988 466 228.833  
2019_10_24_11_33_45_127 1571934825127 5020 5007 974 482.625  
2019_10_24_11_33_45_146 1571934825146 5039 5026 1277 637.635  
2019_10_24_11_33_45_402 1571934825402 5295 5282 732 360.773  
2019_10_24_11_33_45_403 1571934825403 5296 5283 1328 663.993  
2019_10_24_11_33_45_404 1571934825404 5297 5284 1292 645.379  
2019_10_24_11_33_45_404 1571934825404 5297 5284 681 335.314  
2019_10_24_11_33_45_404 1571934825404 5297 5284 466 228.833  
2019_10_24_11_33_45_404 1571934825404 5297 5284 538 264.339  
2019_10_24_11_33_45_404 1571934825404 5297 5284 163 81.0902  
2019_10_24_11_33_45_405 1571934825405 5298 5285 77 39.6512  
2019_10_24_11_33_45_405 1571934825405 5298 5285 174 86.4063  
2019_10_24_11_33_45_405 1571934825405 5298 5285 1081 537.055  
2019_10_24_11_33_45_405 1571934825405 5298 5285 1338 669.17  
2019_10_24_11_33_45_405 1571934825405 5298 5285 1079 536.034  
2019_10_24_11_33_45_405 1571934825405 5298 5285 473 232.278  
2019_10_24_11_33_45_405 1571934825405 5298 5284 1055 523.798  
2019_10_24_11_33_45_405 1571934825405 5298 5284 605 297.518  
2019_10_24_11_33_45_405 1571934825405 5298 5284 607 298.51  
2019_10_24_11_33_45_411 1571934825411 5304 5290 144 71.9162  
2019_10_24_11_33_45_429 1571934825429 5322 5308 325 159.744  
2019_10_24_11_33_45_453 1571934825453 5346 5332 1329 664.51  
2019_10_24_11_33_45_455 1571934825455 5348 5334 261 128.578  
2019_10_24_11_33_45_458 1571934825458 5351 5337 360 176.839  
2019_10_24_11_33_45_474 1571934825474 5367 5353 494 242.623  
2019_10_24_11_33_45_478 1571934825478 5371 5357 1281 639.7  
2019_10_24_11_33_45_502 1571934825502 5395 5381 1340 670.206  
2019_10_24_11_33_45_512 1571934825512 5405 5391 644 316.892  
2019_10_24_11_33_45_519 1571934825519 5412 5398 130 65.1633  
2019_10_24_11_33_45_520 1571934825520 5413 5399 438 215.066  
2019_10_24_11_33_45_539 1571934825539 5432 5418 1262 629.897  
2019_10_24_11_33_45_546 1571934825546 5439 5425 641 315.4  
2019_10_24_11_33_45_558 1571934825558 5451 5437 239 117.893  
2019_10_24_11_33_45_568 1571934825568 5461 5446 221 109.161  
2019_10_24_11_33_45_583 1571934825583 5476 5461 282 138.791  
2019_10_24_11_33_45_610 1571934825610 5503 5488 369 181.24  
2019_10_24_11_33_45_613 1571934825613 5506 5491 383 188.092  
2019_10_24_11_33_45_616 1571934825616 5509 5494 119 59.8615  
2019_10_24_11_33_45_622 1571934825622 5515 5500 186 92.2098  
2019_10_24_11_33_45_635 1571934825635 5528 5513 1024 508.018  
2019_10_24_11_33_45_673 1571934825673 5566 5551 435 213.593  
2019_10_24_11_33_45_674 1571934825674 5567 5552 712 350.78  
2019_10_24_11_33_45_696 1571934825696 5589 5574 764 376.786  
2019_10_24_11_33_45_706 1571934825706 5599 5584 189 93.6613  
2019_10_24_11_33_45_715 1571934825715 5608 5593 1038 515.141  
2019_10_24_11_33_45_721 1571934825721 5614 5599 393 192.99  
2019_10_24_11_33_45_769 1571934825769 5662 5647 732 360.773  
