1571934607877 2019_10_24_11_30_07_877 2.734449 0.478300  0.000014786
2019_10_24_11_30_07_886 1571934607886 9 8 96 48.7875  
2019_10_24_11_30_07_908 1571934607908 31 30 368 180.751  
2019_10_24_11_30_07_911 1571934607911 34 33 439 215.558  
2019_10_24_11_30_07_943 1571934607943 66 65 739 364.273  
2019_10_24_11_30_07_957 1571934607957 80 79 161 80.124  
2019_10_24_11_30_08_004 1571934608004 127 126 90 45.9012  
2019_10_24_11_30_08_020 1571934608020 143 142 198 98.0175  
2019_10_24_11_30_08_118 1571934608118 241 240 342 168.042  
2019_10_24_11_30_08_119 1571934608119 242 241 2560 1324.08  
2019_10_24_11_30_08_120 1571934608120 243 242 1296 647.446  
2019_10_24_11_30_08_134 1571934608134 257 256 477 234.248  
2019_10_24_11_30_08_138 1571934608138 261 260 141 70.4687  
2019_10_24_11_30_08_169 1571934608169 292 291 284 139.764  
2019_10_24_11_30_08_176 1571934608176 299 298 4095 2209.31  
2019_10_24_11_30_08_194 1571934608194 317 316 2082 1062.65  
2019_10_24_11_30_08_225 1571934608225 348 347 363 178.306  
2019_10_24_11_30_08_256 1571934608256 379 378 297 146.094  
2019_10_24_11_30_08_276 1571934608276 399 397 420 206.229  
2019_10_24_11_30_08_298 1571934608298 421 419 271 133.44  
2019_10_24_11_30_08_331 1571934608331 454 452 263 129.55  
2019_10_24_11_30_08_411 1571934608411 534 532 189 93.6613  
2019_10_24_11_30_08_511 1571934608511 634 632 267 131.495  
2019_10_24_11_30_08_522 1571934608522 645 643 1354 677.46  
2019_10_24_11_30_08_568 1571934608568 691 689 417 204.757  
2019_10_24_11_30_08_603 1571934608603 726 724 1346 673.314  
2019_10_24_11_30_08_622 1571934608622 745 743 167 83.0229  
2019_10_24_11_30_08_683 1571934608683 806 804 186 92.2098  
2019_10_24_11_30_08_690 1571934608690 813 811 314 154.378  
2019_10_24_11_30_08_703 1571934608703 826 824 411 201.813  
2019_10_24_11_30_08_707 1571934608707 830 828 371 182.219  
2019_10_24_11_30_08_712 1571934608712 835 833 313 153.891  
2019_10_24_11_30_08_726 1571934608726 849 847 178 88.3403  
2019_10_24_11_30_08_779 1571934608779 902 900 205 101.407  
2019_10_24_11_30_08_832 1571934608832 955 953 250 123.234  
2019_10_24_11_30_08_846 1571934608846 969 966 330 162.184  
2019_10_24_11_30_08_959 1571934608959 1082 1079 64 33.4062  
2019_10_24_11_30_09_024 1571934609024 1147 1144 1330 665.028  
2019_10_24_11_30_09_025 1571934609025 1148 1145 714 351.778  
2019_10_24_11_30_09_033 1571934609033 1156 1153 703 346.287  
2019_10_24_11_30_09_042 1571934609042 1165 1162 211 104.314  
2019_10_24_11_30_09_064 1571934609064 1187 1184 368 180.751  
2019_10_24_11_30_09_067 1571934609067 1190 1187 260 128.092  
2019_10_24_11_30_09_080 1571934609080 1203 1200 1885 956.867  
2019_10_24_11_30_09_086 1571934609086 1209 1206 964 477.556  
2019_10_24_11_30_09_091 1571934609091 1214 1211 235 115.951  
2019_10_24_11_30_09_139 1571934609139 1262 1259 1238 617.531  
2019_10_24_11_30_09_143 1571934609143 1266 1263 3691 1969.57  
2019_10_24_11_30_09_159 1571934609159 1282 1279 3013 1578.08  
2019_10_24_11_30_09_173 1571934609173 1296 1293 413 202.794  
2019_10_24_11_30_09_226 1571934609226 1349 1346 79 40.6124  
2019_10_24_11_30_09_232 1571934609232 1355 1352 1308 653.647  
2019_10_24_11_30_09_388 1571934609388 1511 1507 763 376.285  
2019_10_24_11_30_09_406 1571934609406 1529 1525 157 78.192  
2019_10_24_11_30_09_415 1571934609415 1538 1534 159 79.1579  
2019_10_24_11_30_09_422 1571934609422 1545 1541 318 156.329  
2019_10_24_11_30_09_452 1571934609452 1575 1571 242 119.349  
