1571936778602 2019_10_24_12_06_18_602 2.734449 0.478300  0.000014786
2019_10_24_12_06_21_187 1571936781187 2585 2579 286 140.738  
2019_10_24_12_06_21_225 1571936781225 2623 2617 134 67.0921  
2019_10_24_12_06_21_262 1571936781262 2660 2654 468 229.817  
2019_10_24_12_06_21_293 1571936781293 2691 2685 662 325.849  
2019_10_24_12_06_21_321 1571936781321 2719 2713 640 314.903  
2019_10_24_12_06_21_376 1571936781376 2774 2768 91 46.3822  
2019_10_24_12_06_21_380 1571936781380 2778 2772 117 58.898  
2019_10_24_12_06_21_385 1571936781385 2783 2777 328 161.208  
2019_10_24_12_06_21_423 1571936781423 2821 2815 252 124.205  
2019_10_24_12_06_21_438 1571936781438 2836 2829 408 200.342  
2019_10_24_12_06_21_448 1571936781448 2846 2839 360 176.839  
2019_10_24_12_06_21_466 1571936781466 2864 2857 256 126.148  
2019_10_24_12_06_21_531 1571936781531 2929 2922 436 214.084  
2019_10_24_12_06_21_794 1571936781794 3192 3185 414 203.285  
2019_10_24_12_06_21_795 1571936781795 3193 3186 720 354.775  
2019_10_24_12_06_21_796 1571936781796 3194 3187 310 152.428  
2019_10_24_12_06_21_797 1571936781797 3195 3188 133 66.6099  
2019_10_24_12_06_21_797 1571936781797 3195 3188 346 169.996  
2019_10_24_12_06_21_797 1571936781797 3195 3188 308 151.453  
2019_10_24_12_06_21_797 1571936781797 3195 3188 255 125.662  
2019_10_24_12_06_21_797 1571936781797 3195 3188 466 228.833  
2019_10_24_12_06_21_797 1571936781797 3195 3188 598 294.045  
2019_10_24_12_06_21_797 1571936781797 3195 3188 272 133.926  
2019_10_24_12_06_21_797 1571936781797 3195 3188 600 295.037  
2019_10_24_12_06_21_798 1571936781798 3196 3189 1338 669.17  
2019_10_24_12_06_21_798 1571936781798 3196 3189 208 102.861  
2019_10_24_12_06_21_798 1571936781798 3196 3188 439 215.558  
2019_10_24_12_06_21_815 1571936781815 3213 3205 785 387.311  
2019_10_24_12_06_21_845 1571936781845 3243 3235 254 125.177  
2019_10_24_12_06_21_856 1571936781856 3254 3246 565 277.694  
2019_10_24_12_06_21_862 1571936781862 3260 3252 391 192.01  
2019_10_24_12_06_21_886 1571936781886 3284 3276 267 131.495  
2019_10_24_12_06_21_891 1571936781891 3289 3281 1226 611.354  
2019_10_24_12_06_21_914 1571936781914 3312 3304 1320 659.853  
2019_10_24_12_06_21_915 1571936781915 3313 3305 1292 645.379  
2019_10_24_12_06_21_976 1571936781976 3374 3366 183 90.7585  
2019_10_24_12_06_22_036 1571936782036 3434 3426 92 46.8632  
2019_10_24_12_06_22_091 1571936782091 3489 3481 524 257.423  
2019_10_24_12_06_22_098 1571936782098 3496 3488 97 49.2687  
2019_10_24_12_06_22_113 1571936782113 3511 3503 311 152.916  
2019_10_24_12_06_22_117 1571936782117 3515 3507 1433 718.501  
2019_10_24_12_06_22_122 1571936782122 3520 3512 258 127.12  
2019_10_24_12_06_22_185 1571936782185 3583 3575 277 136.358  
2019_10_24_12_06_22_214 1571936782214 3612 3603 172 85.4395  
2019_10_24_12_06_22_228 1571936782228 3626 3617 220 108.676  
2019_10_24_12_06_22_242 1571936782242 3640 3631 750 369.776  
2019_10_24_12_06_22_249 1571936782249 3647 3638 240 118.378  
2019_10_24_12_06_22_269 1571936782269 3667 3658 284 139.764  
