1571935432748 2019_10_24_11_43_52_748 2.734449 0.478300  0.000014786
2019_10_24_11_43_52_827 1571935432827 79 78 174 86.4063  
2019_10_24_11_43_52_886 1571935432886 138 137 91 46.3822  
2019_10_24_11_43_52_893 1571935432893 145 144 272 133.926  
2019_10_24_11_43_53_003 1571935433003 255 254 110 55.5264  
2019_10_24_11_43_53_015 1571935433015 267 266 1326 662.958  
2019_10_24_11_43_53_020 1571935433020 272 271 414 203.285  
2019_10_24_11_43_53_066 1571935433066 318 317 91 46.3822  
2019_10_24_11_43_53_095 1571935433095 347 346 694 341.796  
2019_10_24_11_43_53_125 1571935433125 377 376 405 198.871  
2019_10_24_11_43_53_209 1571935433209 461 460 176 87.3733  
2019_10_24_11_43_53_215 1571935433215 467 466 186 92.2098  
2019_10_24_11_43_53_232 1571935433232 484 483 270 132.953  
2019_10_24_11_43_53_250 1571935433250 502 501 570 280.169  
2019_10_24_11_43_53_262 1571935433262 514 513 420 206.229  
2019_10_24_11_43_53_270 1571935433270 522 521 1197 596.445  
2019_10_24_11_43_53_291 1571935433291 543 542 290 142.685  
2019_10_24_11_43_53_332 1571935433332 584 583 115 57.9345  
2019_10_24_11_43_53_352 1571935433352 604 602 170 84.4728  
2019_10_24_11_43_53_449 1571935433449 701 699 136 68.0567  
2019_10_24_11_43_53_452 1571935433452 704 702 521 255.942  
2019_10_24_11_43_53_496 1571935433496 748 746 235 115.951  
2019_10_24_11_43_53_502 1571935433502 754 752 342 168.042  
2019_10_24_11_43_53_519 1571935433519 771 769 226 111.585  
2019_10_24_11_43_53_559 1571935433559 811 809 640 314.903  
2019_10_24_11_43_53_582 1571935433582 834 832 918 454.274  
2019_10_24_11_43_53_608 1571935433608 860 858 173 85.9229  
2019_10_24_11_43_53_792 1571935433792 1044 1042 482 236.71  
2019_10_24_11_43_53_821 1571935433821 1073 1071 282 138.791  
2019_10_24_11_43_53_837 1571935433837 1089 1087 337 165.601  
2019_10_24_11_43_53_887 1571935433887 1139 1137 1069 530.934  
2019_10_24_11_43_53_893 1571935433893 1145 1143 146 72.8814  
2019_10_24_11_43_54_002 1571935434002 1254 1252 160 79.641  
2019_10_24_11_43_54_019 1571935434019 1271 1269 446 218.997  
2019_10_24_11_43_54_111 1571935434111 1363 1361 547 268.789  
2019_10_24_11_43_54_112 1571935434112 1364 1361 1111 552.376  
2019_10_24_11_43_54_142 1571935434142 1394 1391 271 133.44  
2019_10_24_11_43_54_159 1571935434159 1411 1408 209 103.345  
2019_10_24_11_43_54_184 1571935434184 1436 1433 191 94.6291  
2019_10_24_11_43_54_186 1571935434186 1438 1435 144 71.9162  
2019_10_24_11_43_54_201 1571935434201 1453 1450 747 368.275  
2019_10_24_11_43_54_222 1571935434222 1474 1471 467 229.325  
2019_10_24_11_43_54_233 1571935434233 1485 1482 256 126.148  
2019_10_24_11_43_54_250 1571935434250 1502 1499 496 243.609  
2019_10_24_11_43_54_259 1571935434259 1511 1508 729 359.273  
2019_10_24_11_43_54_313 1571935434313 1565 1562 284 139.764  
2019_10_24_11_43_54_381 1571935434381 1633 1630 179 88.8239  
2019_10_24_11_43_54_382 1571935434382 1634 1631 2214 1134.17  
2019_10_24_11_43_54_453 1571935434453 1705 1702 186 92.2098  
2019_10_24_11_43_54_487 1571935434487 1739 1736 366 179.773  
2019_10_24_11_43_54_578 1571935434578 1830 1827 277 136.358  
2019_10_24_11_43_54_582 1571935434582 1834 1831 4095 2209.31  
2019_10_24_11_43_54_601 1571935434601 1853 1849 408 200.342  
2019_10_24_11_43_54_604 1571935434604 1856 1852 805 397.347  
2019_10_24_11_43_54_610 1571935434610 1862 1858 278 136.845  
2019_10_24_11_43_54_631 1571935434631 1883 1879 293 144.146  
2019_10_24_11_43_54_706 1571935434706 1958 1954 797 393.332  
2019_10_24_11_43_54_746 1571935434746 1998 1994 170 84.4728  
2019_10_24_11_43_54_798 1571935434798 2050 2046 508 249.527  
2019_10_24_11_43_54_808 1571935434808 2060 2056 1253 625.258  
2019_10_24_11_43_54_811 1571935434811 2063 2059 1498 752.407  
2019_10_24_11_43_54_847 1571935434847 2099 2095 626 307.944  
2019_10_24_11_43_54_863 1571935434863 2115 2111 182 90.2748  
2019_10_24_11_43_54_876 1571935434876 2128 2124 187 92.6936  
2019_10_24_11_43_55_107 1571935435107 2359 2355 2044 1042.15  
2019_10_24_11_43_55_117 1571935435117 2369 2365 267 131.495  
2019_10_24_11_43_55_437 1571935435437 2689 2685 371 182.219  
2019_10_24_11_43_55_438 1571935435438 2690 2686 216 106.737  
