1571935524451 2019_10_24_11_45_24_451 2.734449 0.478300  0.000014786
2019_10_24_11_45_24_484 1571935524484 33 32 304 149.504  
2019_10_24_11_45_24_599 1571935524599 148 147 177 87.8568  
2019_10_24_11_45_24_600 1571935524600 149 148 1020 505.983  
2019_10_24_11_45_24_636 1571935524636 185 184 170 84.4728  
2019_10_24_11_45_24_650 1571935524650 199 198 209 103.345  
2019_10_24_11_45_24_685 1571935524685 234 233 164 81.5733  
2019_10_24_11_45_24_686 1571935524686 235 234 447 219.489  
2019_10_24_11_45_24_699 1571935524699 248 247 527 258.905  
2019_10_24_11_45_24_710 1571935524710 259 258 105 53.119  
2019_10_24_11_45_24_723 1571935524723 272 271 131 65.6455  
2019_10_24_11_45_24_757 1571935524757 306 305 692 340.798  
2019_10_24_11_45_24_768 1571935524768 317 316 251 123.719  
2019_10_24_11_45_24_789 1571935524789 338 337 73 37.7291  
2019_10_24_11_45_24_798 1571935524798 347 346 108 54.5633  
2019_10_24_11_45_24_858 1571935524858 407 406 372 182.708  
2019_10_24_11_45_24_860 1571935524860 409 408 359 176.35  
2019_10_24_11_45_24_875 1571935524875 424 423 159 79.1579  
2019_10_24_11_45_24_907 1571935524907 456 454 531 260.881  
2019_10_24_11_45_24_915 1571935524915 464 462 271 133.44  
2019_10_24_11_45_24_917 1571935524917 466 464 543 266.811  
2019_10_24_11_45_24_921 1571935524921 470 468 230 113.526  
2019_10_24_11_45_24_939 1571935524939 488 486 209 103.345  
2019_10_24_11_45_24_963 1571935524963 512 510 207 102.376  
2019_10_24_11_45_24_970 1571935524970 519 517 220 108.676  
2019_10_24_11_45_24_972 1571935524972 521 519 1337 668.652  
2019_10_24_11_45_24_973 1571935524973 522 520 194 96.0811  
2019_10_24_11_45_25_036 1571935525036 585 583 451 221.455  
2019_10_24_11_45_25_038 1571935525038 587 585 351 172.439  
2019_10_24_11_45_25_064 1571935525064 613 611 238 117.407  
2019_10_24_11_45_25_112 1571935525112 661 659 197 97.5334  
2019_10_24_11_45_25_141 1571935525141 690 688 159 79.1579  
2019_10_24_11_45_25_176 1571935525176 725 723 99 50.2311  
2019_10_24_11_45_25_177 1571935525177 726 724 279 137.331  
2019_10_24_11_45_25_196 1571935525196 745 743 258 127.12  
2019_10_24_11_45_25_206 1571935525206 755 752 203 100.439  
2019_10_24_11_45_25_208 1571935525208 757 754 293 144.146  
2019_10_24_11_45_25_257 1571935525257 806 803 359 176.35  
2019_10_24_11_45_25_520 1571935525520 1069 1066 127 63.717  
2019_10_24_11_45_25_521 1571935525521 1070 1067 580 285.122  
2019_10_24_11_45_25_522 1571935525522 1071 1068 441 216.54  
2019_10_24_11_45_25_522 1571935525522 1071 1068 528 259.399  
2019_10_24_11_45_25_530 1571935525530 1079 1076 91 46.3822  
2019_10_24_11_45_25_544 1571935525544 1093 1090 475 233.263  
2019_10_24_11_45_25_545 1571935525545 1094 1091 169 83.9894  
2019_10_24_11_45_25_546 1571935525546 1095 1092 2091 1067.51  
2019_10_24_11_45_25_554 1571935525554 1103 1100 488 239.666  
2019_10_24_11_45_25_563 1571935525563 1112 1109 446 218.997  
2019_10_24_11_45_25_574 1571935525574 1123 1120 87 44.4585  
2019_10_24_11_45_25_616 1571935525616 1165 1162 255 125.662  
2019_10_24_11_45_25_649 1571935525649 1198 1195 182 90.2748  
2019_10_24_11_45_25_654 1571935525654 1203 1200 3334 1761.74  
2019_10_24_11_45_25_671 1571935525671 1220 1216 259 127.606  
2019_10_24_11_45_25_681 1571935525681 1230 1226 328 161.208  
2019_10_24_11_45_25_757 1571935525757 1306 1302 106 53.6004  
2019_10_24_11_45_25_819 1571935525819 1368 1364 286 140.738  
2019_10_24_11_45_25_836 1571935525836 1385 1381 281 138.304  
2019_10_24_11_45_25_851 1571935525851 1400 1396 240 118.378  
2019_10_24_11_45_25_902 1571935525902 1451 1447 261 128.578  
2019_10_24_11_45_25_939 1571935525939 1488 1484 155 77.2262  
2019_10_24_11_45_25_945 1571935525945 1494 1490 274 134.899  
2019_10_24_11_45_26_017 1571935526017 1566 1562 189 93.6613  
2019_10_24_11_45_26_025 1571935526025 1574 1570 518 254.461  
2019_10_24_11_45_26_063 1571935526063 1612 1608 105 53.119  
2019_10_24_11_45_26_091 1571935526091 1640 1636 97 49.2687  
