1571934768052 2019_10_24_11_32_48_052 2.734449 0.478300  0.000014786
2019_10_24_11_32_48_088 1571934768088 36 35 227 112.07  
2019_10_24_11_32_48_136 1571934768136 84 83 200 98.9859  
2019_10_24_11_32_48_154 1571934768154 102 101 110 55.5264  
2019_10_24_11_32_48_169 1571934768169 117 116 295 145.12  
2019_10_24_11_32_48_185 1571934768185 133 132 931 460.847  
2019_10_24_11_32_48_186 1571934768186 134 133 249 122.748  
2019_10_24_11_32_48_187 1571934768187 135 134 309 151.941  
2019_10_24_11_32_48_201 1571934768201 149 148 179 88.8239  
2019_10_24_11_32_48_211 1571934768211 159 158 188 93.1774  
2019_10_24_11_32_48_218 1571934768218 166 165 1849 937.661  
2019_10_24_11_32_48_245 1571934768245 193 192 951 470.97  
2019_10_24_11_32_48_252 1571934768252 200 199 419 205.738  
2019_10_24_11_32_48_262 1571934768262 210 209 395 193.97  
2019_10_24_11_32_48_387 1571934768387 335 334 80 41.0931  
2019_10_24_11_32_48_425 1571934768425 373 372 210 103.829  
2019_10_24_11_32_48_471 1571934768471 419 418 701 345.288  
2019_10_24_11_32_48_495 1571934768495 443 442 933 461.859  
2019_10_24_11_32_48_502 1571934768502 450 448 423 207.701  
2019_10_24_11_32_48_519 1571934768519 467 465 1318 658.818  
2019_10_24_11_32_48_582 1571934768582 530 528 181 89.7911  
2019_10_24_11_32_48_649 1571934768649 597 595 287 141.224  
2019_10_24_11_32_48_669 1571934768669 617 615 1317 658.301  
2019_10_24_11_32_48_674 1571934768674 622 620 173 85.9229  
2019_10_24_11_32_48_677 1571934768677 625 623 458 224.897  
2019_10_24_11_32_48_686 1571934768686 634 632 210 103.829  
2019_10_24_11_32_48_694 1571934768694 642 640 296 145.607  
2019_10_24_11_32_48_710 1571934768710 658 656 66 34.3667  
2019_10_24_11_32_48_714 1571934768714 662 660 212 104.799  
2019_10_24_11_32_48_730 1571934768730 678 676 419 205.738  
2019_10_24_11_32_48_732 1571934768732 680 678 382 187.603  
2019_10_24_11_32_48_762 1571934768762 710 708 454 222.93  
2019_10_24_11_32_48_801 1571934768801 749 747 1264 630.929  
2019_10_24_11_32_48_802 1571934768802 750 748 234 115.466  
2019_10_24_11_32_48_848 1571934768848 796 794 322 158.28  
2019_10_24_11_32_48_854 1571934768854 802 799 99 50.2311  
2019_10_24_11_32_48_881 1571934768881 829 826 253 124.691  
2019_10_24_11_32_48_915 1571934768915 863 860 237 116.922  
2019_10_24_11_32_48_928 1571934768928 876 873 979 485.161  
2019_10_24_11_32_48_942 1571934768942 890 887 442 217.032  
2019_10_24_11_32_48_974 1571934768974 922 919 274 134.899  
2019_10_24_11_32_48_985 1571934768985 933 930 474 232.771  
2019_10_24_11_32_48_995 1571934768995 943 940 253 124.691  
2019_10_24_11_32_49_051 1571934769051 999 996 336 165.112  
2019_10_24_11_32_49_097 1571934769097 1045 1042 345 169.508  
2019_10_24_11_32_49_102 1571934769102 1050 1047 631 310.429  
2019_10_24_11_32_49_162 1571934769162 1110 1107 551 270.767  
2019_10_24_11_32_49_238 1571934769238 1186 1183 605 297.518  
2019_10_24_11_32_49_254 1571934769254 1202 1199 305 149.991  
2019_10_24_11_32_49_276 1571934769276 1224 1221 237 116.922  
2019_10_24_11_32_49_279 1571934769279 1227 1224 395 193.97  
2019_10_24_11_32_49_314 1571934769314 1262 1259 637 313.411  
2019_10_24_11_32_49_329 1571934769329 1277 1273 594 292.062  
2019_10_24_11_32_49_332 1571934769332 1280 1276 361 177.328  
2019_10_24_11_32_49_335 1571934769335 1283 1279 230 113.526  
2019_10_24_11_32_49_355 1571934769355 1303 1299 387 190.051  
2019_10_24_11_32_49_385 1571934769385 1333 1329 398 195.44  
2019_10_24_11_32_49_387 1571934769387 1335 1331 748 368.776  
2019_10_24_11_32_49_392 1571934769392 1340 1336 214 105.768  
2019_10_24_11_32_49_416 1571934769416 1364 1360 431 211.628  
2019_10_24_11_32_49_417 1571934769417 1365 1361 1557 783.292  
2019_10_24_11_32_49_443 1571934769443 1391 1387 181 89.7911  
2019_10_24_11_32_49_451 1571934769451 1399 1395 473 232.278  
2019_10_24_11_32_49_593 1571934769593 1541 1537 371 182.219  
