1571935478247 2019_10_24_11_44_38_247 2.734449 0.478300  0.000014786
2019_10_24_11_44_38_286 1571935478286 39 38 173 85.9229  
2019_10_24_11_44_38_299 1571935478299 52 51 220 108.676  
2019_10_24_11_44_38_305 1571935478305 58 57 174 86.4063  
2019_10_24_11_44_38_323 1571935478323 76 75 184 91.2422  
2019_10_24_11_44_38_369 1571935478369 122 121 163 81.0902  
2019_10_24_11_44_38_374 1571935478374 127 126 353 173.417  
2019_10_24_11_44_38_430 1571935478430 183 182 372 182.708  
2019_10_24_11_44_38_430 1571935478430 183 182 457 224.406  
2019_10_24_11_44_38_458 1571935478458 211 210 407 199.852  
2019_10_24_11_44_38_476 1571935478476 229 228 609 299.503  
2019_10_24_11_44_38_507 1571935478507 260 259 203 100.439  
2019_10_24_11_44_38_512 1571935478512 265 264 474 232.771  
2019_10_24_11_44_38_549 1571935478549 302 301 140 69.9862  
2019_10_24_11_44_38_554 1571935478554 307 306 2576 1332.95  
2019_10_24_11_44_38_622 1571935478622 375 374 313 153.891  
2019_10_24_11_44_38_657 1571935478657 410 409 166 82.5397  
2019_10_24_11_44_38_658 1571935478658 411 410 115 57.9345  
2019_10_24_11_44_38_683 1571935478683 436 434 479 235.233  
2019_10_24_11_44_38_778 1571935478778 531 529 1224 610.325  
2019_10_24_11_44_38_810 1571935478810 563 561 502 246.567  
2019_10_24_11_44_38_859 1571935478859 612 610 259 127.606  
2019_10_24_11_44_38_889 1571935478889 642 640 70 36.2879  
2019_10_24_11_44_38_911 1571935478911 664 662 1246 621.651  
2019_10_24_11_44_38_945 1571935478945 698 696 112 56.4895  
2019_10_24_11_44_38_961 1571935478961 714 712 907 448.716  
2019_10_24_11_44_38_987 1571935478987 740 738 789 389.318  
2019_10_24_11_44_39_018 1571935479018 771 769 208 102.861  
2019_10_24_11_44_39_037 1571935479037 790 788 1284 641.248  
2019_10_24_11_44_39_084 1571935479084 837 835 489 240.159  
2019_10_24_11_44_39_088 1571935479088 841 839 256 126.148  
2019_10_24_11_44_39_090 1571935479090 843 841 215 106.252  
2019_10_24_11_44_39_095 1571935479095 848 846 154 76.7433  
2019_10_24_11_44_39_304 1571935479304 1057 1055 106 53.6004  
2019_10_24_11_44_39_328 1571935479328 1081 1079 500 245.581  
2019_10_24_11_44_39_349 1571935479349 1102 1099 521 255.942  
2019_10_24_11_44_39_368 1571935479368 1121 1118 1074 533.484  
2019_10_24_11_44_39_369 1571935479369 1122 1119 153 76.2605  
2019_10_24_11_44_39_396 1571935479396 1149 1146 108 54.5633  
2019_10_24_11_44_39_450 1571935479450 1203 1200 634 311.92  
2019_10_24_11_44_39_515 1571935479515 1268 1265 180 89.3075  
2019_10_24_11_44_39_552 1571935479552 1305 1302 4095 2209.31  
2019_10_24_11_44_39_572 1571935479572 1325 1322 336 165.112  
2019_10_24_11_44_39_574 1571935479574 1327 1324 2241 1148.86  
2019_10_24_11_44_39_597 1571935479597 1350 1347 557 273.735  
2019_10_24_11_44_39_611 1571935479611 1364 1361 657 323.36  
2019_10_24_11_44_39_698 1571935479698 1451 1448 1228 612.383  
2019_10_24_11_44_39_717 1571935479717 1470 1467 170 84.4728  
2019_10_24_11_44_39_718 1571935479718 1471 1468 1014 502.933  
2019_10_24_11_44_39_724 1571935479724 1477 1474 254 125.177  
2019_10_24_11_44_39_731 1571935479731 1484 1481 572 281.16  
2019_10_24_11_44_39_748 1571935479748 1501 1498 656 322.862  
2019_10_24_11_44_39_750 1571935479750 1503 1499 165 82.0565  
2019_10_24_11_44_39_786 1571935479786 1539 1535 355 174.394  
2019_10_24_11_44_39_791 1571935479791 1544 1540 255 125.662  
2019_10_24_11_44_39_802 1571935479802 1555 1551 350 171.951  
2019_10_24_11_44_39_824 1571935479824 1577 1573 625 307.448  
2019_10_24_11_44_39_875 1571935479875 1628 1624 194 96.0811  
2019_10_24_11_44_39_888 1571935479888 1641 1637 826 407.898  
2019_10_24_11_44_39_918 1571935479918 1671 1667 408 200.342  
2019_10_24_11_44_39_928 1571935479928 1681 1677 591 290.574  
2019_10_24_11_44_39_966 1571935479966 1719 1715 281 138.304  
2019_10_24_11_44_40_078 1571935480078 1831 1827 378 185.644  
2019_10_24_11_44_40_081 1571935480081 1834 1830 513 251.993  
2019_10_24_11_44_40_156 1571935480156 1909 1905 90 45.9012  
2019_10_24_11_44_40_487 1571935480487 2240 2236 404 198.381  
2019_10_24_11_44_40_488 1571935480488 2241 2237 161 80.124  
2019_10_24_11_44_40_489 1571935480489 2242 2238 718 353.776  
2019_10_24_11_44_40_489 1571935480489 2242 2238 181 89.7911  
2019_10_24_11_44_40_489 1571935480489 2242 2237 270 132.953  
2019_10_24_11_44_40_490 1571935480490 2243 2238 480 235.725  
2019_10_24_11_44_40_490 1571935480490 2243 2238 333 163.648  
2019_10_24_11_44_40_490 1571935480490 2243 2238 203 100.439  
2019_10_24_11_44_40_490 1571935480490 2243 2238 360 176.839  
2019_10_24_11_44_40_490 1571935480490 2243 2238 482 236.71  
2019_10_24_11_44_40_540 1571935480540 2293 2288 259 127.606  
2019_10_24_11_44_40_550 1571935480550 2303 2298 296 145.607  
2019_10_24_11_44_40_565 1571935480565 2318 2313 298 146.581  
2019_10_24_11_44_40_568 1571935480568 2321 2316 1370 685.757  
2019_10_24_11_44_40_585 1571935480585 2338 2333 299 147.068  
2019_10_24_11_44_40_598 1571935480598 2351 2346 4095 2209.31  
2019_10_24_11_44_40_608 1571935480608 2361 2356 1966 1000.22  
2019_10_24_11_44_40_645 1571935480645 2398 2393 137 68.5391  
2019_10_24_11_44_40_650 1571935480650 2403 2398 1511 759.203  
2019_10_24_11_44_40_706 1571935480706 2459 2454 229 113.041  
2019_10_24_11_44_40_710 1571935480710 2463 2458 111 56.0079  
2019_10_24_11_44_40_716 1571935480716 2469 2464 310 152.428  
2019_10_24_11_44_40_796 1571935480796 2549 2543 696 342.794  
2019_10_24_11_44_40_800 1571935480800 2553 2547 107 54.0818  
2019_10_24_11_44_40_821 1571935480821 2574 2568 415 203.775  
2019_10_24_11_44_40_867 1571935480867 2620 2614 102 51.6749  
2019_10_24_11_44_40_873 1571935480873 2626 2620 305 149.991  
2019_10_24_11_44_40_969 1571935480969 2722 2716 634 311.92  
2019_10_24_11_44_40_999 1571935480999 2752 2746 119 59.8615  
2019_10_24_11_44_41_013 1571935481013 2766 2760 141 70.4687  
2019_10_24_11_44_41_064 1571935481064 2817 2811 115 57.9345  
2019_10_24_11_44_41_075 1571935481075 2828 2822 183 90.7585  
2019_10_24_11_44_41_091 1571935481091 2844 2838 153 76.2605  
2019_10_24_11_44_41_147 1571935481147 2900 2894 542 266.317  
2019_10_24_11_44_41_167 1571935481167 2920 2914 276 135.872  
2019_10_24_11_44_41_177 1571935481177 2930 2924 596 293.053  
2019_10_24_11_44_41_205 1571935481205 2958 2952 434 213.102  
2019_10_24_11_44_41_213 1571935481213 2966 2960 168 83.5062  
2019_10_24_11_44_41_224 1571935481224 2977 2971 256 126.148  
2019_10_24_11_44_41_265 1571935481265 3018 3011 490 240.651  
2019_10_24_11_44_41_291 1571935481291 3044 3037 177 87.8568  
2019_10_24_11_44_41_306 1571935481306 3059 3052 595 292.557  
2019_10_24_11_44_41_312 1571935481312 3065 3058 306 150.479  
2019_10_24_11_44_41_386 1571935481386 3139 3132 514 252.487  
2019_10_24_11_44_41_411 1571935481411 3164 3157 548 269.283  
2019_10_24_11_44_41_433 1571935481433 3186 3179 1518 762.865  
2019_10_24_11_44_41_457 1571935481457 3210 3203 937 463.883  
2019_10_24_11_44_41_461 1571935481461 3214 3207 388 190.541  
2019_10_24_11_44_41_471 1571935481471 3224 3217 105 53.119  
2019_10_24_11_44_41_505 1571935481505 3258 3251 544 267.305  
2019_10_24_11_44_41_519 1571935481519 3272 3265 4095 2209.31  
2019_10_24_11_44_41_539 1571935481539 3292 3285 1551 780.146  
2019_10_24_11_44_41_556 1571935481556 3309 3302 649 319.379  
2019_10_24_11_44_41_569 1571935481569 3322 3315 2003 1020.09  
2019_10_24_11_44_41_584 1571935481584 3337 3330 337 165.601  
2019_10_24_11_44_41_590 1571935481590 3343 3336 211 104.314  
2019_10_24_11_44_41_655 1571935481655 3408 3400 361 177.328  
2019_10_24_11_44_41_760 1571935481760 3513 3505 455 223.422  
2019_10_24_11_44_41_766 1571935481766 3519 3511 191 94.6291  
2019_10_24_11_44_41_797 1571935481797 3550 3542 323 158.768  
2019_10_24_11_44_41_841 1571935481841 3594 3586 270 132.953  
2019_10_24_11_44_41_876 1571935481876 3629 3621 634 311.92  
2019_10_24_11_44_41_891 1571935481891 3644 3636 646 317.887  
2019_10_24_11_44_41_919 1571935481919 3672 3664 92 46.8632  
2019_10_24_11_44_41_934 1571935481934 3687 3679 110 55.5264  
2019_10_24_11_44_41_942 1571935481942 3695 3687 250 123.234  
2019_10_24_11_44_42_027 1571935482027 3780 3772 248 122.262  
2019_10_24_11_44_42_055 1571935482055 3808 3800 665 327.343  
2019_10_24_11_44_42_064 1571935482064 3817 3809 326 160.232  
2019_10_24_11_44_42_154 1571935482154 3907 3899 368 180.751  
2019_10_24_11_44_42_256 1571935482256 4009 4001 177 87.8568  
2019_10_24_11_44_42_535 1571935482535 4288 4280 1340 670.206  
2019_10_24_11_44_42_536 1571935482536 4289 4281 199 98.5017  
2019_10_24_11_44_42_537 1571935482537 4290 4281 293 144.146  
2019_10_24_11_44_42_537 1571935482537 4290 4281 1856 941.392  
2019_10_24_11_44_42_537 1571935482537 4290 4281 207 102.376  
2019_10_24_11_44_42_537 1571935482537 4290 4281 85 43.4968  
2019_10_24_11_44_42_537 1571935482537 4290 4281 243 119.834  
2019_10_24_11_44_42_537 1571935482537 4290 4281 2720 1413.1  
2019_10_24_11_44_42_537 1571935482537 4290 4281 452 221.947  
2019_10_24_11_44_42_538 1571935482538 4291 4282 445 218.506  
2019_10_24_11_44_42_538 1571935482538 4291 4282 320 157.305  
2019_10_24_11_44_42_538 1571935482538 4291 4282 263 129.55  
2019_10_24_11_44_42_538 1571935482538 4291 4282 1212 604.153  
2019_10_24_11_44_42_538 1571935482538 4291 4282 409 200.833  
2019_10_24_11_44_42_560 1571935482560 4313 4304 195 96.5652  
2019_10_24_11_44_42_648 1571935482648 4401 4392 756 372.78  
2019_10_24_11_44_42_683 1571935482683 4436 4427 274 134.899  
2019_10_24_11_44_42_688 1571935482688 4441 4432 254 125.177  
2019_10_24_11_44_42_736 1571935482736 4489 4480 317 155.841  
2019_10_24_11_44_42_762 1571935482762 4515 4505 1071 531.954  
