1571936727502 2019_10_24_12_05_27_502 2.734449 0.478300  0.000014786
2019_10_24_12_05_27_916 1571936727916 414 413 355 174.394  
2019_10_24_12_05_27_917 1571936727917 415 414 552 271.261  
2019_10_24_12_05_27_918 1571936727918 416 415 335 164.624  
2019_10_24_12_05_27_918 1571936727918 416 415 2044 1042.15  
2019_10_24_12_05_27_918 1571936727918 416 415 428 210.155  
2019_10_24_12_05_27_918 1571936727918 416 415 209 103.345  
2019_10_24_12_05_27_918 1571936727918 416 415 220 108.676  
2019_10_24_12_05_27_919 1571936727919 417 416 311 152.916  
2019_10_24_12_05_27_919 1571936727919 417 416 232 114.496  
2019_10_24_12_05_27_919 1571936727919 417 416 1113 553.398  
2019_10_24_12_05_27_919 1571936727919 417 416 300 147.555  
2019_10_24_12_05_27_919 1571936727919 417 416 226 111.585  
2019_10_24_12_05_27_919 1571936727919 417 416 243 119.834  
2019_10_24_12_05_27_919 1571936727919 417 416 1282 640.216  
2019_10_24_12_05_27_919 1571936727919 417 416 142 70.9512  
2019_10_24_12_05_27_919 1571936727919 417 416 332 163.16  
2019_10_24_12_05_27_920 1571936727920 418 417 317 155.841  
2019_10_24_12_05_27_920 1571936727920 418 416 209 103.345  
2019_10_24_12_05_27_920 1571936727920 418 416 329 161.696  
2019_10_24_12_05_27_920 1571936727920 418 416 263 129.55  
2019_10_24_12_05_27_920 1571936727920 418 416 319 156.817  
2019_10_24_12_05_27_920 1571936727920 418 416 424 208.192  
2019_10_24_12_05_27_920 1571936727920 418 416 177 87.8568  
2019_10_24_12_05_27_920 1571936727920 418 416 153 76.2605  
2019_10_24_12_05_27_920 1571936727920 418 416 2106 1075.61  
2019_10_24_12_05_27_921 1571936727921 419 417 576 283.141  
2019_10_24_12_05_27_921 1571936727921 419 417 338 166.089  
2019_10_24_12_05_27_921 1571936727921 419 417 690 339.801  
2019_10_24_12_05_27_921 1571936727921 419 417 112 56.4895  
2019_10_24_12_05_27_921 1571936727921 419 417 169 83.9894  
2019_10_24_12_05_27_921 1571936727921 419 417 74 38.2096  
2019_10_24_12_05_27_921 1571936727921 419 417 164 81.5733  
2019_10_24_12_05_27_922 1571936727922 420 418 548 269.283  
2019_10_24_12_05_27_927 1571936727927 425 423 4095 2209.31  
2019_10_24_12_05_27_928 1571936727928 426 423 237 116.922  
2019_10_24_12_05_27_945 1571936727945 443 440 309 151.941  
2019_10_24_12_05_27_962 1571936727962 460 457 158 78.675  
2019_10_24_12_05_27_970 1571936727970 468 465 662 325.849  
2019_10_24_12_05_27_976 1571936727976 474 471 217 107.222  
2019_10_24_12_05_28_035 1571936728035 533 530 348 170.973  
2019_10_24_12_05_28_209 1571936728209 707 704 130 65.1633  
2019_10_24_12_05_28_252 1571936728252 750 747 247 121.777  
2019_10_24_12_05_28_264 1571936728264 762 759 505 248.047  
2019_10_24_12_05_28_546 1571936728546 1044 1041 170 84.4728  
2019_10_24_12_05_28_547 1571936728547 1045 1042 305 149.991  
2019_10_24_12_05_28_548 1571936728548 1046 1043 166 82.5397  
2019_10_24_12_05_28_548 1571936728548 1046 1043 724 356.774  
2019_10_24_12_05_28_548 1571936728548 1046 1043 197 97.5334  
2019_10_24_12_05_28_548 1571936728548 1046 1043 829 409.406  
2019_10_24_12_05_28_548 1571936728548 1046 1043 542 266.317  
2019_10_24_12_05_28_549 1571936728549 1047 1044 877 433.576  
2019_10_24_12_05_28_549 1571936728549 1047 1043 623 306.454  
2019_10_24_12_05_28_549 1571936728549 1047 1043 221 109.161  
2019_10_24_12_05_28_549 1571936728549 1047 1043 117 58.898  
2019_10_24_12_05_28_549 1571936728549 1047 1043 77 39.6512  
2019_10_24_12_05_28_580 1571936728580 1078 1074 276 135.872  
2019_10_24_12_05_28_582 1571936728582 1080 1076 139 69.5038  
2019_10_24_12_05_28_601 1571936728601 1099 1095 512 251.5  
2019_10_24_12_05_28_607 1571936728607 1105 1101 554 272.251  
2019_10_24_12_05_28_627 1571936728627 1125 1121 282 138.791  
2019_10_24_12_05_28_660 1571936728660 1158 1154 164 81.5733  
2019_10_24_12_05_28_676 1571936728676 1174 1170 182 90.2748  
2019_10_24_12_05_28_722 1571936728722 1220 1216 397 194.95  
2019_10_24_12_05_28_732 1571936728732 1230 1226 514 252.487  
2019_10_24_12_05_28_768 1571936728768 1266 1262 488 239.666  
2019_10_24_12_05_28_783 1571936728783 1281 1277 332 163.16  
2019_10_24_12_05_28_796 1571936728796 1294 1290 822 405.888  
2019_10_24_12_05_28_802 1571936728802 1300 1296 821 405.385  
2019_10_24_12_05_28_817 1571936728817 1315 1310 211 104.314  
2019_10_24_12_05_28_827 1571936728827 1325 1320 199 98.5017  
2019_10_24_12_05_28_835 1571936728835 1333 1328 312 153.403  
2019_10_24_12_05_28_846 1571936728846 1344 1339 278 136.845  
2019_10_24_12_05_28_871 1571936728871 1369 1364 368 180.751  
2019_10_24_12_05_28_954 1571936728954 1452 1447 876 433.071  
2019_10_24_12_05_28_967 1571936728967 1465 1460 254 125.177  
2019_10_24_12_05_28_974 1571936728974 1472 1467 269 132.467  
2019_10_24_12_05_29_028 1571936729028 1526 1521 243 119.834  
2019_10_24_12_05_29_076 1571936729076 1574 1569 284 139.764  
2019_10_24_12_05_29_124 1571936729124 1622 1617 891 440.638  
2019_10_24_12_05_29_125 1571936729125 1623 1618 235 115.951  
2019_10_24_12_05_29_157 1571936729157 1655 1650 200 98.9859  
2019_10_24_12_05_29_208 1571936729208 1706 1701 201 99.4701  
2019_10_24_12_05_29_234 1571936729234 1732 1727 138 69.0214  
2019_10_24_12_05_29_270 1571936729270 1768 1763 154 76.7433  
2019_10_24_12_05_29_277 1571936729277 1775 1770 717 353.277  
2019_10_24_12_05_29_282 1571936729282 1780 1775 233 114.981  
2019_10_24_12_05_29_308 1571936729308 1806 1800 242 119.349  
2019_10_24_12_05_29_325 1571936729325 1823 1817 359 176.35  
2019_10_24_12_05_29_337 1571936729337 1835 1829 183 90.7585  
2019_10_24_12_05_29_361 1571936729361 1859 1853 153 76.2605  
2019_10_24_12_05_29_374 1571936729374 1872 1866 1358 679.533  
2019_10_24_12_05_29_383 1571936729383 1881 1875 244 120.32  
2019_10_24_12_05_29_386 1571936729386 1884 1878 142 70.9512  
2019_10_24_12_05_29_387 1571936729387 1885 1879 3365 1779.64  
2019_10_24_12_05_29_390 1571936729390 1888 1882 147 73.3641  
2019_10_24_12_05_29_392 1571936729392 1890 1884 249 122.748  
2019_10_24_12_05_29_412 1571936729412 1910 1904 371 182.219  
2019_10_24_12_05_29_413 1571936729413 1911 1905 168 83.5062  
2019_10_24_12_05_29_425 1571936729425 1923 1917 93 47.3442  
2019_10_24_12_05_29_442 1571936729442 1940 1934 205 101.407  
2019_10_24_12_05_29_467 1571936729467 1965 1959 156 77.7091  
2019_10_24_12_05_29_487 1571936729487 1985 1979 223 110.131  
2019_10_24_12_05_29_517 1571936729517 2015 2009 141 70.4687  
2019_10_24_12_05_29_604 1571936729604 2102 2095 286 140.738  
2019_10_24_12_05_29_606 1571936729606 2104 2097 305 149.991  
2019_10_24_12_05_29_682 1571936729682 2180 2173 265 130.522  
2019_10_24_12_05_29_684 1571936729684 2182 2175 245 120.805  
2019_10_24_12_05_29_689 1571936729689 2187 2180 1390 696.139  
2019_10_24_12_05_29_696 1571936729696 2194 2187 735 362.273  
2019_10_24_12_05_29_703 1571936729703 2201 2194 507 249.033  
2019_10_24_12_05_29_722 1571936729722 2220 2213 206 101.892  
2019_10_24_12_05_29_726 1571936729726 2224 2217 252 124.205  
2019_10_24_12_05_29_799 1571936729799 2297 2290 253 124.691  
2019_10_24_12_05_29_905 1571936729905 2403 2396 242 119.349  
2019_10_24_12_05_29_936 1571936729936 2434 2427 401 196.91  
2019_10_24_12_05_29_940 1571936729940 2438 2431 406 199.361  
2019_10_24_12_05_29_975 1571936729975 2473 2466 691 340.3  
2019_10_24_12_05_30_003 1571936730003 2501 2494 179 88.8239  
2019_10_24_12_05_30_019 1571936730019 2517 2510 414 203.285  
2019_10_24_12_05_30_136 1571936730136 2634 2627 209 103.345  
2019_10_24_12_05_30_145 1571936730145 2643 2635 395 193.97  
2019_10_24_12_05_30_153 1571936730153 2651 2643 86 43.9776  
2019_10_24_12_05_30_188 1571936730188 2686 2678 135 67.5744  
2019_10_24_12_05_30_204 1571936730204 2702 2694 196 97.0493  
2019_10_24_12_05_30_226 1571936730226 2724 2716 132 66.1277  
2019_10_24_12_05_30_271 1571936730271 2769 2761 228 112.555  
2019_10_24_12_05_30_300 1571936730300 2798 2790 226 111.585  
2019_10_24_12_05_30_338 1571936730338 2836 2828 159 79.1579  
2019_10_24_12_05_30_594 1571936730594 3092 3084 429 210.646  
2019_10_24_12_05_30_595 1571936730595 3093 3085 241 118.864  
2019_10_24_12_05_30_596 1571936730596 3094 3086 181 89.7911  
2019_10_24_12_05_30_596 1571936730596 3094 3086 260 128.092  
2019_10_24_12_05_30_596 1571936730596 3094 3086 420 206.229  
2019_10_24_12_05_30_597 1571936730597 3095 3087 331 162.672  
2019_10_24_12_05_30_597 1571936730597 3095 3087 4095 2209.31  
2019_10_24_12_05_30_597 1571936730597 3095 3087 1081 537.055  
2019_10_24_12_05_30_597 1571936730597 3095 3087 185 91.726  
2019_10_24_12_05_30_597 1571936730597 3095 3086 202 99.9544  
2019_10_24_12_05_30_597 1571936730597 3095 3086 651 320.374  
2019_10_24_12_05_30_597 1571936730597 3095 3086 323 158.768  
2019_10_24_12_05_30_598 1571936730598 3096 3087 172 85.4395  
2019_10_24_12_05_30_598 1571936730598 3096 3087 115 57.9345  
2019_10_24_12_05_30_650 1571936730650 3148 3139 385 189.072  
2019_10_24_12_05_30_655 1571936730655 3153 3144 142 70.9512  
2019_10_24_12_05_30_681 1571936730681 3179 3170 97 49.2687  
2019_10_24_12_05_30_731 1571936730731 3229 3220 89 45.4203  
2019_10_24_12_05_30_743 1571936730743 3241 3232 78 40.1318  
2019_10_24_12_05_30_769 1571936730769 3267 3258 224 110.616  
2019_10_24_12_05_30_791 1571936730791 3289 3280 4095 2209.31  
2019_10_24_12_05_30_801 1571936730801 3299 3290 1914 972.367  
2019_10_24_12_05_30_818 1571936730818 3316 3307 4095 2209.31  
2019_10_24_12_05_30_827 1571936730827 3325 3316 1096 544.712  
2019_10_24_12_05_30_861 1571936730861 3359 3350 546 268.294  
2019_10_24_12_05_30_869 1571936730869 3367 3358 1429 716.418  
2019_10_24_12_05_30_882 1571936730882 3380 3370 1422 712.775  
2019_10_24_12_05_30_950 1571936730950 3448 3438 200 98.9859  
2019_10_24_12_05_30_974 1571936730974 3472 3462 373 183.197  
2019_10_24_12_05_30_982 1571936730982 3480 3470 90 45.9012  
2019_10_24_12_05_30_984 1571936730984 3482 3472 134 67.0921  
2019_10_24_12_05_31_004 1571936731004 3502 3492 1535 771.763  
2019_10_24_12_05_31_053 1571936731053 3551 3541 80 41.0931  
2019_10_24_12_05_31_078 1571936731078 3576 3566 177 87.8568  
2019_10_24_12_05_31_079 1571936731079 3577 3567 135 67.5744  
2019_10_24_12_05_31_086 1571936731086 3584 3574 312 153.403  
2019_10_24_12_05_31_211 1571936731211 3709 3699 565 277.694  
